instance,settings,drone_nodes,truck_nodes,avg_random_pocket,avg_random_current,avg_warmstart_value,avg_warmstart_time_us,samples
mm-10-10-1110588,Memetic-LS_MMX,10,10,792.6666666666666,528.3333333333334,3062.0,456.0,3
mm-10-10-1110588,Memetic-LS_MPX,10,10,792.6666666666666,528.3333333333334,3062.0,428.0,3
mm-10-10-1110588,Memetic_MMX,10,10,993.0,1384.0,3062.0,429.3333333333333,3
mm-10-10-1110588,Memetic_MPX,10,10,993.0,1384.0,3062.0,446.0,3
mm-10-10-1762875,Memetic-LS_MMX,10,10,728.6666666666666,645.3333333333334,2075.0,310.3333333333333,3
mm-10-10-1762875,Memetic-LS_MPX,10,10,728.6666666666666,645.3333333333334,2075.0,320.3333333333333,3
mm-10-10-1762875,Memetic_MMX,10,10,1339.3333333333333,1099.0,2075.0,305.0,3
mm-10-10-1762875,Memetic_MPX,10,10,1339.3333333333333,1099.0,2075.0,379.6666666666667,3
mm-10-10-1767920,Memetic-LS_MMX,10,10,830.6666666666666,971.3333333333334,3006.0,399.3333333333333,3
mm-10-10-1767920,Memetic-LS_MPX,10,10,830.6666666666666,971.3333333333334,3006.0,438.6666666666667,3
mm-10-10-1767920,Memetic_MMX,10,10,1169.0,1992.3333333333333,3006.0,430.0,3
mm-10-10-1767920,Memetic_MPX,10,10,1169.0,1992.3333333333333,3006.0,430.0,3
mm-10-10-1891798,Memetic-LS_MMX,10,10,1346.3333333333333,1117.6666666666667,2712.0,472.3333333333333,3
mm-10-10-1891798,Memetic-LS_MPX,10,10,1346.3333333333333,1117.6666666666667,2712.0,744.6666666666666,3
mm-10-10-1891798,Memetic_MMX,10,10,1655.6666666666667,1665.0,2712.0,490.0,3
mm-10-10-1891798,Memetic_MPX,10,10,1655.6666666666667,1665.0,2712.0,477.6666666666667,3
mm-10-10-1917698,Memetic-LS_MMX,10,10,547.6666666666666,833.6666666666666,2691.0,306.3333333333333,3
mm-10-10-1917698,Memetic-LS_MPX,10,10,547.6666666666666,833.6666666666666,2691.0,312.6666666666667,3
mm-10-10-1917698,Memetic_MMX,10,10,1831.0,1692.6666666666667,2691.0,311.6666666666667,3
mm-10-10-1917698,Memetic_MPX,10,10,1831.0,1692.6666666666667,2691.0,286.6666666666667,3
mm-10-25-1110588,Memetic-LS_MMX,25,10,677.0,867.3333333333334,4047.0,1418.3333333333333,3
mm-10-25-1110588,Memetic-LS_MPX,25,10,677.0,867.3333333333334,4047.0,1169.6666666666667,3
mm-10-25-1110588,Memetic_MMX,25,10,823.0,3575.6666666666665,4047.0,1267.6666666666667,3
mm-10-25-1110588,Memetic_MPX,25,10,823.0,3575.6666666666665,4047.0,1268.3333333333333,3
mm-10-25-1762875,Memetic-LS_MMX,25,10,908.3333333333334,1139.0,4036.0,1294.6666666666667,3
mm-10-25-1762875,Memetic-LS_MPX,25,10,908.3333333333334,1139.0,4036.0,1401.6666666666667,3
mm-10-25-1762875,Memetic_MMX,25,10,2030.6666666666667,2697.0,4036.0,1144.6666666666667,3
mm-10-25-1762875,Memetic_MPX,25,10,2030.6666666666667,2697.0,4036.0,1305.0,3
mm-10-25-1767920,Memetic-LS_MMX,25,10,827.3333333333334,653.0,4545.0,1522.6666666666667,3
mm-10-25-1767920,Memetic-LS_MPX,25,10,827.3333333333334,653.0,4545.0,1491.3333333333333,3
mm-10-25-1767920,Memetic_MMX,25,10,3414.6666666666665,3178.3333333333335,4545.0,1663.0,3
mm-10-25-1767920,Memetic_MPX,25,10,3414.6666666666665,3178.3333333333335,4545.0,1527.6666666666667,3
mm-10-25-1891798,Memetic-LS_MMX,25,10,799.6666666666666,644.0,5250.0,1482.0,3
mm-10-25-1891798,Memetic-LS_MPX,25,10,799.6666666666666,644.0,5250.0,1396.0,3
mm-10-25-1891798,Memetic_MMX,25,10,1887.3333333333333,2677.6666666666665,5250.0,1352.0,3
mm-10-25-1891798,Memetic_MPX,25,10,1887.3333333333333,2677.6666666666665,5250.0,1414.6666666666667,3
mm-10-25-1917698,Memetic-LS_MMX,25,10,326.6666666666667,526.0,3821.0,1007.3333333333334,3
mm-10-25-1917698,Memetic-LS_MPX,25,10,326.6666666666667,526.0,3821.0,1013.6666666666666,3
mm-10-25-1917698,Memetic_MMX,25,10,774.0,1195.0,3821.0,1049.6666666666667,3
mm-10-25-1917698,Memetic_MPX,25,10,774.0,1195.0,3821.0,1255.3333333333333,3
mm-10-40-1110588,Memetic-LS_MMX,40,10,609.6666666666666,621.6666666666666,4920.0,2545.3333333333335,3
mm-10-40-1110588,Memetic-LS_MPX,40,10,609.6666666666666,621.6666666666666,4920.0,2336.6666666666665,3
mm-10-40-1110588,Memetic_MMX,40,10,3746.6666666666665,2857.0,4920.0,2501.0,3
mm-10-40-1110588,Memetic_MPX,40,10,3746.6666666666665,2857.0,4920.0,2292.3333333333335,3
mm-10-40-1762875,Memetic-LS_MMX,40,10,775.3333333333334,648.3333333333334,4298.0,1157.3333333333333,3
mm-10-40-1762875,Memetic-LS_MPX,40,10,775.3333333333334,648.3333333333334,4298.0,1263.6666666666667,3
mm-10-40-1762875,Memetic_MMX,40,10,3269.3333333333335,4083.6666666666665,4298.0,1204.3333333333333,3
mm-10-40-1762875,Memetic_MPX,40,10,3269.3333333333335,4083.6666666666665,4298.0,1152.3333333333333,3
mm-10-40-1767920,Memetic-LS_MMX,40,10,733.6666666666666,784.0,5196.0,2414.3333333333335,3
mm-10-40-1767920,Memetic-LS_MPX,40,10,733.6666666666666,784.0,5196.0,2759.0,3
mm-10-40-1767920,Memetic_MMX,40,10,4079.0,3073.0,5196.0,2291.0,3
mm-10-40-1767920,Memetic_MPX,40,10,4079.0,3073.0,5196.0,2396.3333333333335,3
