instance_prefix,settings_prefix,m,n,value,time,nIter,best_iter,improv_count,solved
WS_mm-10-40,Memetic_MMX,10.0,40.0,7669.0,1024009.9333333333,65809.6,65809.6,65810.6,15
WS_mm-10-10,Memetic-LS_MMX,10.0,10.0,3314.266666666667,1024001.0,3076614.066666667,3076614.066666667,3076615.066666667,15
WS_mm-10-10,Memetic_MMX,10.0,10.0,3488.6666666666665,1024002.3333333334,346851.6,346851.6,346852.6,15
WS_mm-10-25,Memetic-LS_MMX,10.0,25.0,5293.0,1024001.5333333333,1186917.3333333333,1186917.3333333333,1186918.3333333333,15
WS_mm-5-40,Memetic-LS_MMX,5.0,40.0,6304.466666666666,1024002.3333333334,622678.9333333333,622678.9333333333,622679.9333333333,15
WS_mm-25-10,Memetic-LS_MPX,25.0,10.0,2827.3333333333335,1024001.0,2001989.0,2001989.0,2001990.0,15
WS_mm-15-40,Memetic_MPX,15.0,40.0,7246.066666666667,1024012.9333333333,63988.26666666667,63988.26666666667,63989.26666666667,15
WS_mm-5-10,Memetic-LS_MMX,5.0,10.0,2813.5333333333333,1024001.0,4626007.533333333,4626007.533333333,4626008.533333333,15
WS_mm-25-25,Memetic-LS_MPX,25.0,25.0,3097.6666666666665,1024001.2666666667,1129418.0,1129418.0,1129419.0,15
WS_mm-25-25,Memetic_MPX,25.0,25.0,5714.266666666666,1024005.6666666666,98181.0,98181.0,98182.0,15
WS_mm-20-25,Memetic_MMX,20.0,25.0,6630.733333333334,1024007.1333333333,78059.4,78059.4,78060.4,15
WS_mm-20-10,Memetic-LS_MMX,20.0,10.0,3906.866666666667,1024001.1333333333,2199816.3333333335,2199816.3333333335,2199817.3333333335,15
WS_mm-5-25,Memetic-LS_MMX,5.0,25.0,5016.866666666667,1024001.1333333333,1228858.9333333333,1228858.9333333333,1228859.9333333333,15
WS_mm-10-25,Memetic-LS_MPX,10.0,25.0,4507.866666666667,1024001.1333333333,982538.8,982538.8,982539.8,15
WS_mm-20-25,Memetic_MPX,20.0,25.0,5770.666666666667,1024006.6666666666,102444.2,102444.2,102445.2,15
WS_mm-25-10,Memetic_MPX,25.0,10.0,4330.2,1024004.7333333333,187445.93333333332,187445.93333333332,187446.93333333332,15
WS_mm-5-25,Memetic_MPX,5.0,25.0,5381.266666666666,1024004.2,168495.46666666667,168495.46666666667,168496.46666666667,15
WS_mm-15-10,Memetic-LS_MMX,15.0,10.0,3905.8,1024001.0666666667,2442297.4,2442297.4,2442298.4,15
WS_mm-25-25,Memetic-LS_MMX,25.0,25.0,5406.4,1024001.9333333333,1047357.2,1047357.2,1047358.2,15
WS_mm-5-40,Memetic_MPX,5.0,40.0,7336.866666666667,1024012.4,70559.0,70559.0,70560.0,15
WS_mm-10-40,Memetic_MPX,10.0,40.0,7148.8,1024009.0666666667,70763.0,70763.0,70764.0,15
WS_mm-20-25,Memetic-LS_MMX,20.0,25.0,5407.8,1024001.4666666667,1085250.5333333334,1085250.5333333334,1085251.5333333334,15
WS_mm-5-40,Memetic-LS_MPX,5.0,40.0,5913.133333333333,1024001.6666666666,587616.3333333334,587616.3333333334,587617.3333333334,15
WS_mm-25-10,Memetic-LS_MMX,25.0,10.0,4270.2,1024001.1333333333,1958392.9333333333,1958392.9333333333,1958393.9333333333,15
WS_mm-10-25,Memetic_MMX,10.0,25.0,6013.066666666667,1024006.3333333334,118140.0,118140.0,118141.0,15
WS_mm-20-10,Memetic_MPX,20.0,10.0,4034.8,1024003.2,244091.73333333334,244091.73333333334,244092.73333333334,15
WS_mm-5-10,Memetic_MMX,5.0,10.0,2875.866666666667,1024001.4,611950.1333333333,611950.1333333333,611951.1333333333,15
WS_mm-25-10,Memetic_MMX,25.0,10.0,5015.4,1024004.6666666666,130610.53333333334,130610.53333333334,130611.53333333334,15
WS_mm-15-40,Memetic-LS_MMX,15.0,40.0,6465.133333333333,1024003.8,601648.6666666666,601648.6666666666,601649.6666666666,15
WS_mm-15-40,Memetic_MMX,15.0,40.0,8083.333333333333,1024013.6,50414.73333333333,50414.73333333333,50415.73333333333,15
WS_mm-5-40,Memetic_MMX,5.0,40.0,7477.066666666667,1024008.8,76802.53333333334,76802.53333333334,76803.53333333334,15
WS_mm-10-40,Memetic-LS_MPX,10.0,40.0,5235.733333333334,1024001.6,619178.2666666667,619178.2666666667,619179.2666666667,15
WS_mm-25-25,Memetic_MMX,25.0,25.0,6777.533333333334,1024007.6,71115.0,71115.0,71116.0,15
WS_mm-5-25,Memetic_MMX,5.0,25.0,5484.133333333333,1024005.0,174584.66666666666,174584.66666666666,174585.66666666666,15
WS_mm-15-10,Memetic-LS_MPX,15.0,10.0,3141.866666666667,1024001.0,2066240.8,2066240.8,2066241.8,15
WS_mm-10-10,Memetic-LS_MPX,10.0,10.0,3012.6666666666665,1024001.0,2172497.8666666667,2172497.8666666667,2172498.8666666667,15
WS_mm-20-10,Memetic_MMX,20.0,10.0,4500.933333333333,1024004.2666666667,181811.06666666668,181811.06666666668,181812.06666666668,15
WS_mm-10-40,Memetic-LS_MMX,10.0,40.0,6201.066666666667,1024002.8,671549.4,671549.4,671550.4,15
WS_mm-5-25,Memetic-LS_MPX,5.0,25.0,4838.066666666667,1024001.2666666667,1062832.0,1062832.0,1062833.0,15
WS_mm-15-25,Memetic_MPX,15.0,25.0,5872.933333333333,1024006.0666666667,113723.73333333334,113723.73333333334,113724.73333333334,15
WS_mm-15-25,Memetic-LS_MMX,15.0,25.0,5524.333333333333,1024001.6,1012712.9333333333,1012712.9333333333,1012713.9333333333,15
WS_mm-15-10,Memetic_MPX,15.0,10.0,3995.2,1024003.3333333334,270457.86666666664,270457.86666666664,270458.86666666664,15
WS_mm-20-10,Memetic-LS_MPX,20.0,10.0,2754.0666666666666,1024001.0666666667,2109783.7333333334,2109783.7333333334,2109784.7333333334,15
WS_mm-15-25,Memetic-LS_MPX,15.0,25.0,4381.8,1024001.4,1083842.2666666666,1083842.2666666666,1083843.2666666666,15
WS_mm-10-25,Memetic_MPX,10.0,25.0,5655.8,1024005.1333333333,139880.73333333334,139880.73333333334,139881.73333333334,15
WS_mm-10-10,Memetic_MPX,10.0,10.0,3370.0,1024002.2666666667,411742.6666666667,411742.6666666667,411743.6666666667,15
WS_mm-15-40,Memetic-LS_MPX,15.0,40.0,5277.0,1024001.5333333333,606925.3333333334,606925.3333333334,606926.3333333334,15
WS_mm-5-10,Memetic-LS_MPX,5.0,10.0,2754.4,1024001.0,3994721.6,3994721.6,3994722.6,15
WS_mm-5-10,Memetic_MPX,5.0,10.0,2873.266666666667,1024001.5333333333,643670.0,643670.0,643671.0,15
WS_mm-15-25,Memetic_MMX,15.0,25.0,6396.333333333333,1024007.0666666667,89225.4,89225.4,89226.4,15
WS_mm-20-25,Memetic-LS_MPX,20.0,25.0,3706.5333333333333,1024001.7333333333,1130953.4,1130953.4,1130954.4,15
WS_mm-15-10,Memetic_MMX,15.0,10.0,4316.733333333334,1024003.4666666667,217459.33333333334,217459.33333333334,217460.33333333334,15
