instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
WS_mm-10-40-1917698,Memetic_MMX,10.0,40.0,7820.666666666667,1024012.0,70479.66666666667,70479.66666666667,70480.66666666667
WS_mm-10-10-1762875,Memetic-LS_MMX,10.0,10.0,2628.0,1024001.0,4361096.333333333,4361096.333333333,4361097.333333333
WS_mm-10-10-1917698,Memetic_MMX,10.0,10.0,3599.0,1024002.6666666666,336684.0,336684.0,336685.0
WS_mm-10-25-1917698,Memetic-LS_MMX,10.0,25.0,4921.333333333333,1024001.0,1200958.0,1200958.0,1200959.0
WS_mm-5-40-1917698,Memetic-LS_MMX,5.0,40.0,6561.666666666667,1024001.6666666666,593106.0,593106.0,593107.0
WS_mm-25-10-1917698,Memetic-LS_MPX,25.0,10.0,2873.0,1024001.0,1935655.0,1935655.0,1935656.0
WS_mm-15-40-1767920,Memetic_MPX,15.0,40.0,7613.333333333333,1024008.3333333334,54133.0,54133.0,54134.0
WS_mm-5-10-1891798,Memetic-LS_MMX,5.0,10.0,3114.3333333333335,1024001.0,4123437.6666666665,4123437.6666666665,4123438.6666666665
WS_mm-25-25-1762875,Memetic-LS_MPX,25.0,25.0,3247.0,1024001.0,1074094.3333333333,1074094.3333333333,1074095.3333333333
WS_mm-10-25-1110588,Memetic-LS_MMX,10.0,25.0,5211.666666666667,1024002.0,1156219.0,1156219.0,1156220.0
WS_mm-25-25-1110588,Memetic_MPX,25.0,25.0,6022.0,1024005.3333333334,93102.0,93102.0,93103.0
WS_mm-20-25-1917698,Memetic_MMX,20.0,25.0,6415.333333333333,1024005.3333333334,80861.0,80861.0,80862.0
WS_mm-20-10-1110588,Memetic-LS_MMX,20.0,10.0,3663.0,1024001.6666666666,2122664.3333333335,2122664.3333333335,2122665.3333333335
WS_mm-5-25-1762875,Memetic-LS_MMX,5.0,25.0,5340.666666666667,1024001.0,1313927.3333333333,1313927.3333333333,1313928.3333333333
WS_mm-5-40-1891798,Memetic-LS_MMX,5.0,40.0,6316.666666666667,1024002.6666666666,575867.0,575867.0,575868.0
WS_mm-10-25-1767920,Memetic-LS_MMX,10.0,25.0,5524.666666666667,1024001.3333333334,1084565.3333333333,1084565.3333333333,1084566.3333333333
WS_mm-10-25-1891798,Memetic-LS_MPX,10.0,25.0,5250.0,1024001.0,1037038.0,1037038.0,1037039.0
WS_mm-20-25-1891798,Memetic_MMX,20.0,25.0,6517.0,1024008.6666666666,85819.66666666667,85819.66666666667,85820.66666666667
WS_mm-20-25-1917698,Memetic_MPX,20.0,25.0,5534.333333333333,1024007.3333333334,109662.33333333333,109662.33333333333,109663.33333333333
WS_mm-25-10-1917698,Memetic_MPX,25.0,10.0,4384.666666666667,1024007.0,169513.0,169513.0,169514.0
WS_mm-5-25-1917698,Memetic_MPX,5.0,25.0,5204.333333333333,1024008.0,187787.33333333334,187787.33333333334,187788.33333333334
WS_mm-15-10-1917698,Memetic-LS_MMX,15.0,10.0,3777.6666666666665,1024001.0,2656683.6666666665,2656683.6666666665,2656684.6666666665
WS_mm-20-25-1762875,Memetic_MPX,20.0,25.0,5646.0,1024003.0,99110.66666666667,99110.66666666667,99111.66666666667
WS_mm-25-25-1891798,Memetic-LS_MMX,25.0,25.0,5293.333333333333,1024001.3333333334,1124052.3333333333,1124052.3333333333,1124053.3333333333
