instance,settings,m,n,value,time,nIter,best_iter,improv_count
WS_mm-10-40-1917698,Memetic_MMX_1099666,10,40,7787.0,1024019.0,76876,76876,76877
WS_mm-10-10-1762875,Memetic-LS_MMX_1881515,10,10,2638.0,1024001.0,5597468,5597468,5597469
WS_mm-10-10-1917698,Memetic_MMX_1881515,10,10,3607.0,1024003.0,345953,345953,345954
WS_mm-10-25-1917698,Memetic-LS_MMX_1099666,10,25,4888.0,1024001.0,1234543,1234543,1234544
WS_mm-5-40-1917698,Memetic-LS_MMX_1881515,5,40,6488.0,1024001.0,616977,616977,616978
WS_mm-25-10-1917698,Memetic-LS_MPX_1099666,25,10,2881.0,1024001.0,1935321,1935321,1935322
WS_mm-15-40-1767920,Memetic_MPX_1099666,15,40,7820.0,1024009.0,52828,52828,52829
WS_mm-5-10-1891798,Memetic-LS_MMX_1881515,5,10,3056.0,1024001.0,4488479,4488479,4488480
WS_mm-25-25-1762875,Memetic-LS_MPX_1287823,25,25,3216.0,1024001.0,1045899,1045899,1045900
WS_mm-10-25-1110588,Memetic-LS_MMX_1287823,10,25,5185.0,1024002.0,1312138,1312138,1312139
WS_mm-25-25-1110588,Memetic_MPX_1287823,25,25,5990.0,1024008.0,90865,90865,90866
WS_mm-20-25-1917698,Memetic_MMX_1287823,20,25,6455.0,1024004.0,90361,90361,90362
WS_mm-20-10-1110588,Memetic-LS_MMX_1287823,20,10,3556.0,1024002.0,2198672,2198672,2198673
WS_mm-5-25-1762875,Memetic-LS_MMX_1099666,5,25,5450.0,1024001.0,1443536,1443536,1443537
WS_mm-5-40-1891798,Memetic-LS_MMX_1287823,5,40,6111.0,1024003.0,556188,556188,556189
WS_mm-10-25-1767920,Memetic-LS_MMX_1287823,10,25,5427.0,1024001.0,1017559,1017559,1017560
WS_mm-10-25-1891798,Memetic-LS_MPX_1099666,10,25,5250.0,1024001.0,1040219,1040219,1040220
WS_mm-20-25-1891798,Memetic_MMX_1881515,20,25,6498.0,1024010.0,82364,82364,82365
WS_mm-20-25-1917698,Memetic_MPX_1099666,20,25,5534.0,1024008.0,112040,112040,112041
WS_mm-25-10-1917698,Memetic_MPX_1881515,25,10,4338.0,1024011.0,166329,166329,166330
WS_mm-5-25-1917698,Memetic_MPX_1287823,5,25,5252.0,1024012.0,191469,191469,191470
WS_mm-15-10-1917698,Memetic-LS_MMX_1099666,15,10,3786.0,1024001.0,2375021,2375021,2375022
WS_mm-20-25-1762875,Memetic_MPX_1287823,20,25,5641.0,1024001.0,98972,98972,98973
WS_mm-25-25-1891798,Memetic-LS_MMX_1287823,25,25,5585.0,1024001.0,1114892,1114892,1114893
WS_mm-10-25-1110588,Memetic-LS_MMX_1099666,10,25,5201.0,1024003.0,984997,984997,984998
WS_mm-5-40-1891798,Memetic-LS_MMX_1099666,5,40,6325.0,1024003.0,565869,565869,565870
WS_mm-5-40-1767920,Memetic_MPX_1099666,5,40,7518.0,1024015.0,76894,76894,76895
WS_mm-10-40-1762875,Memetic_MPX_1287823,10,40,7629.0,1024001.0,71520,71520,71521
WS_mm-10-25-1891798,Memetic-LS_MMX_1099666,10,25,5526.0,1024001.0,1336586,1336586,1336587
WS_mm-25-25-1767920,Memetic-LS_MMX_1287823,25,25,5667.0,1024001.0,1006893,1006893,1006894
WS_mm-20-25-1767920,Memetic-LS_MMX_1881515,20,25,5792.0,1024002.0,1081390,1081390,1081391
WS_mm-5-40-1917698,Memetic-LS_MPX_1287823,5,40,5637.0,1024002.0,554370,554370,554371
WS_mm-25-10-1891798,Memetic-LS_MMX_1099666,25,10,4459.0,1024002.0,1923944,1923944,1923945
WS_mm-10-25-1767920,Memetic_MMX_1881515,10,25,6285.0,1024021.0,94498,94498,94499
WS_mm-20-10-1762875,Memetic_MPX_1287823,20,10,4019.0,1024003.0,238145,238145,238146
WS_mm-5-10-1767920,Memetic_MMX_1881515,5,10,3031.0,1024002.0,623733,623733,623734
WS_mm-25-10-1767920,Memetic_MMX_1881515,25,10,4415.0,1024006.0,130163,130163,130164
WS_mm-25-25-1762875,Memetic-LS_MMX_1881515,25,25,5240.0,1024001.0,982320,982320,982321
WS_mm-20-25-1762875,Memetic_MMX_1287823,20,25,6460.0,1024005.0,75091,75091,75092
WS_mm-15-40-1762875,Memetic-LS_MMX_1287823,15,40,6028.0,1024001.0,705158,705158,705159
WS_mm-15-40-1110588,Memetic_MMX_1287823,15,40,8439.0,1024008.0,47469,47469,47470
WS_mm-25-10-1917698,Memetic_MPX_1287823,25,10,4353.0,1024006.0,171960,171960,171961
WS_mm-5-40-1767920,Memetic_MMX_1287823,5,40,7341.0,1024012.0,77111,77111,77112
WS_mm-20-10-1891798,Memetic-LS_MMX_1881515,20,10,4267.0,1024001.0,2335095,2335095,2335096
WS_mm-10-40-1767920,Memetic-LS_MPX_1287823,10,40,5196.0,1024002.0,644370,644370,644371
WS_mm-10-40-1110588,Memetic-LS_MPX_1287823,10,40,5703.0,1024001.0,499521,499521,499522
WS_mm-25-25-1762875,Memetic_MMX_1881515,25,25,6467.0,1024003.0,79947,79947,79948
WS_mm-5-25-1891798,Memetic_MMX_1287823,5,25,5276.0,1024001.0,177893,177893,177894
WS_mm-15-10-1891798,Memetic-LS_MMX_1287823,15,10,4265.0,1024001.0,2022477,2022477,2022478
WS_mm-10-40-1110588,Memetic_MPX_1099666,10,40,7255.0,1024003.0,70583,70583,70584
WS_mm-5-25-1891798,Memetic_MMX_1099666,5,25,5233.0,1024005.0,217826,217826,217827
WS_mm-25-10-1762875,Memetic-LS_MPX_1881515,25,10,2954.0,1024001.0,1946436,1946436,1946437
WS_mm-5-25-1762875,Memetic_MPX_1287823,5,25,5590.0,1024008.0,149722,149722,149723
WS_mm-15-10-1767920,Memetic-LS_MPX_1881515,15,10,3231.0,1024001.0,2242815,2242815,2242816
WS_mm-10-10-1891798,Memetic-LS_MPX_1099666,10,10,3272.0,1024001.0,1932815,1932815,1932816
WS_mm-20-10-1891798,Memetic_MMX_1881515,20,10,4985.0,1024001.0,158890,158890,158891
WS_mm-15-40-1917698,Memetic_MPX_1881515,15,40,7707.0,1024006.0,63518,63518,63519
WS_mm-10-25-1767920,Memetic-LS_MPX_1099666,10,25,4545.0,1024001.0,928083,928083,928084
WS_mm-25-25-1762875,Memetic-LS_MMX_1287823,25,25,5254.0,1024002.0,1035658,1035658,1035659
WS_mm-15-10-1767920,Memetic-LS_MMX_1881515,15,10,4085.0,1024002.0,2396872,2396872,2396873
WS_mm-10-10-1891798,Memetic-LS_MPX_1881515,10,10,3018.0,1024001.0,1842170,1842170,1842171
WS_mm-25-25-1762875,Memetic-LS_MMX_1099666,25,25,5187.0,1024001.0,1005747,1005747,1005748
WS_mm-5-10-1110588,Memetic_MMX_1881515,5,10,2723.0,1024002.0,593839,593839,593840
WS_mm-10-40-1762875,Memetic-LS_MMX_1287823,10,40,5733.0,1024002.0,733031,733031,733032
