instance_prefix,settings_prefix,m,n,value,time,nIter,best_iter,improv_count,solved
20-25,Memetic-LS_MMX,20.0,25.0,2418.133333333333,1024001.5333333333,1188691.3333333333,1188691.3333333333,1188692.3333333333,15
15-25,Memetic_MMX,15.0,25.0,2762.6666666666665,1024003.5333333333,201797.26666666666,201797.26666666666,201798.26666666666,15
10-10,Memetic-LS_MMX,10.0,10.0,1919.4666666666667,1024001.0,4191339.4,4191339.4,4191340.4,15
25-25,Memetic-LS_MPX,25.0,25.0,2142.733333333333,1024002.1333333333,793265.6,793265.6,793266.6,15
15-40,Memetic_MMX,15.0,40.0,3315.8,1024009.2,99968.6,99968.6,99969.6,15
20-25,Memetic_MPX,20.0,25.0,2370.866666666667,1024003.9333333333,174681.86666666667,174681.86666666667,174682.86666666667,15
25-25,Memetic_MPX,25.0,25.0,2408.8,1024004.6666666666,144856.93333333332,144856.93333333332,144857.93333333332,15
10-10,Memetic-LS_MPX,10.0,10.0,1840.5333333333333,1024001.0,2948136.8,2948136.8,2948137.8,15
15-40,Memetic-LS_MPX,15.0,40.0,2645.2,1024004.4,620558.0,620558.0,620559.0,15
5-10,Memetic-LS_MMX,5.0,10.0,1837.8666666666666,1024001.0,5765530.666666667,5765530.666666667,5765531.666666667,15
10-25,Memetic-LS_MMX,10.0,25.0,2559.266666666667,1024001.2666666667,1451325.1333333333,1451325.1333333333,1451326.1333333333,15
20-10,Memetic_MPX,20.0,10.0,1815.4666666666667,1024002.4666666667,410319.26666666666,410319.26666666666,410320.26666666666,15
15-40,Memetic-LS_MMX,15.0,40.0,3000.6,1024001.7333333333,687097.6,687097.6,687098.6,15
15-10,Memetic_MPX,15.0,10.0,1857.0666666666666,1024001.8,489385.73333333334,489385.73333333334,489386.73333333334,15
10-25,Memetic_MMX,10.0,25.0,2725.6666666666665,1024002.8,237870.73333333334,237870.73333333334,237871.73333333334,15
10-25,Memetic_MPX,10.0,25.0,2634.6,1024002.4,249396.2,249396.2,249397.2,15
5-40,Memetic-LS_MPX,5.0,40.0,3164.866666666667,1024001.6666666666,794050.0666666667,794050.0666666667,794051.0666666667,15
5-25,Memetic_MMX,5.0,25.0,2704.0,1024003.4,324352.4666666667,324352.4666666667,324353.4666666667,15
5-10,Memetic-LS_MPX,5.0,10.0,1819.4666666666667,1024001.0,4942167.066666666,4942167.066666666,4942168.066666666,15
25-10,Memetic-LS_MPX,25.0,10.0,1507.2,1024001.1333333333,1543535.0,1543535.0,1543536.0,15
5-25,Memetic-LS_MPX,5.0,25.0,2530.9333333333334,1024001.0,1781956.7333333334,1781956.7333333334,1781957.7333333334,15
15-10,Memetic-LS_MPX,15.0,10.0,1737.3333333333333,1024001.0,2180553.2,2180553.2,2180554.2,15
20-10,Memetic-LS_MMX,20.0,10.0,1924.8666666666666,1024001.0666666667,2338030.2666666666,2338030.2666666666,2338031.2666666666,15
5-40,Memetic_MMX,5.0,40.0,3476.6,1024005.2,123742.0,123742.0,123743.0,15
20-25,Memetic-LS_MPX,20.0,25.0,2102.133333333333,1024001.6666666666,943239.4,943239.4,943240.4,15
25-10,Memetic_MMX,25.0,10.0,2052.866666666667,1024002.1333333333,344972.4,344972.4,344973.4,15
20-10,Memetic-LS_MPX,20.0,10.0,1710.8,1024001.0,1691730.3333333333,1691730.3333333333,1691731.3333333333,15
5-25,Memetic_MPX,5.0,25.0,2665.8,1024002.5333333333,374950.26666666666,374950.26666666666,374951.26666666666,15
5-25,Memetic-LS_MMX,5.0,25.0,2574.6666666666665,1024001.0,2035574.1333333333,2035574.1333333333,2035575.1333333333,15
25-25,Memetic_MMX,25.0,25.0,2791.133333333333,1024006.2,157576.93333333332,157576.93333333332,157577.93333333332,15
25-10,Memetic_MPX,25.0,10.0,1720.9333333333334,1024001.8666666667,317653.0,317653.0,317654.0,15
5-10,Memetic_MPX,5.0,10.0,1871.8666666666666,1024001.4,1052584.4666666666,1052584.4666666666,1052585.4666666666,15
10-40,Memetic-LS_MPX,10.0,40.0,2917.6,1024001.6666666666,691158.1333333333,691158.1333333333,691159.1333333333,15
15-40,Memetic_MPX,15.0,40.0,3103.0,1024009.5333333333,101116.46666666666,101116.46666666666,101117.46666666666,15
20-25,Memetic_MMX,20.0,25.0,2649.0,1024003.4666666667,172758.66666666666,172758.66666666666,172759.66666666666,15
10-25,Memetic-LS_MPX,10.0,25.0,2429.133333333333,1024001.2666666667,1203282.1333333333,1203282.1333333333,1203283.1333333333,15
15-25,Memetic_MPX,15.0,25.0,2600.0,1024003.3333333334,210111.26666666666,210111.26666666666,210112.26666666666,15
15-10,Memetic_MMX,15.0,10.0,1976.8666666666666,1024001.6666666666,510337.73333333334,510337.73333333334,510338.73333333334,15
10-40,Memetic-LS_MMX,10.0,40.0,3155.4666666666667,1024002.4666666667,776352.4,776352.4,776353.4,15
25-10,Memetic-LS_MMX,25.0,10.0,1921.8,1024001.0666666667,2122656.4,2122656.4,2122657.4,15
10-10,Memetic_MPX,10.0,10.0,1926.6,1024001.9333333333,684760.5333333333,684760.5333333333,684761.5333333333,15
25-25,Memetic-LS_MMX,25.0,25.0,2594.6666666666665,1024002.4666666667,1014453.9333333333,1014453.9333333333,1014454.9333333333,15
15-10,Memetic-LS_MMX,15.0,10.0,1907.1333333333334,1024001.0,3136334.2,3136334.2,3136335.2,15
10-40,Memetic_MMX,10.0,40.0,3494.4666666666667,1024007.7333333333,110001.26666666666,110001.26666666666,110002.26666666666,15
10-40,Memetic_MPX,10.0,40.0,3351.4,1024008.9333333333,105023.46666666666,105023.46666666666,105024.46666666666,15
5-10,Memetic_MMX,5.0,10.0,1877.6666666666667,1024001.5333333333,932292.8,932292.8,932293.8,15
15-25,Memetic-LS_MPX,15.0,25.0,2295.866666666667,1024001.4666666667,1122889.8,1122889.8,1122890.8,15
20-10,Memetic_MMX,20.0,10.0,2054.8,1024002.7333333333,407439.0,407439.0,407440.0,15
10-10,Memetic_MMX,10.0,10.0,1982.4,1024001.8,696524.4666666667,696524.4666666667,696525.4666666667,15
5-40,Memetic-LS_MMX,5.0,40.0,3185.6,1024002.8,912040.5333333333,912040.5333333333,912041.5333333333,15
15-25,Memetic-LS_MMX,15.0,25.0,2587.6666666666665,1024001.6666666666,1295080.1333333333,1295080.1333333333,1295081.1333333333,15
5-40,Memetic_MPX,5.0,40.0,3446.9333333333334,1024005.1333333333,141094.4,141094.4,141095.4,15
