instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
20-25-1767920,Memetic-LS_MMX,20.0,25.0,2529.0,1024001.3333333334,1255769.6666666667,1255769.6666666667,1255770.6666666667
15-25-1762875,Memetic_MMX,15.0,25.0,2762.0,1024002.3333333334,210505.0,210505.0,210506.0
10-10-1767920,Memetic-LS_MMX,10.0,10.0,1708.0,1024001.0,4217548.333333333,4217548.333333333,4217549.333333333
25-25-1110588,Memetic-LS_MPX,25.0,25.0,2210.0,1024001.0,808980.6666666666,808980.6666666666,808981.6666666666
15-40-1767920,Memetic_MMX,15.0,40.0,3183.3333333333335,1024003.3333333334,98815.0,98815.0,98816.0
20-25-1891798,Memetic-LS_MMX,20.0,25.0,2604.3333333333335,1024001.0,1193801.3333333333,1193801.3333333333,1193802.3333333333
20-25-1762875,Memetic_MPX,20.0,25.0,2439.3333333333335,1024001.0,171646.66666666666,171646.66666666666,171647.66666666666
25-25-1110588,Memetic_MPX,25.0,25.0,2416.3333333333335,1024002.3333333334,155672.0,155672.0,155673.0
10-10-1767920,Memetic-LS_MPX,10.0,10.0,1667.3333333333333,1024001.0,3249336.3333333335,3249336.3333333335,3249337.3333333335
15-40-1762875,Memetic-LS_MPX,15.0,40.0,2887.3333333333335,1024001.6666666666,626934.6666666666,626934.6666666666,626935.6666666666
15-40-1917698,Memetic-LS_MPX,15.0,40.0,2541.3333333333335,1024007.0,667165.3333333334,667165.3333333334,667166.3333333334
5-10-1767920,Memetic-LS_MMX,5.0,10.0,1719.0,1024001.0,5614370.0,5614370.0,5614371.0
5-10-1891798,Memetic-LS_MMX,5.0,10.0,1906.6666666666667,1024001.0,5751759.0,5751759.0,5751760.0
10-25-1917698,Memetic-LS_MMX,10.0,25.0,2534.3333333333335,1024001.0,1350269.0,1350269.0,1350270.0
20-10-1917698,Memetic_MPX,20.0,10.0,1730.0,1024002.6666666666,354997.0,354997.0,354998.0
10-10-1891798,Memetic-LS_MPX,10.0,10.0,1997.0,1024001.0,2718235.0,2718235.0,2718236.0
15-40-1917698,Memetic-LS_MMX,15.0,40.0,2978.0,1024001.0,728884.3333333334,728884.3333333334,728885.3333333334
15-10-1110588,Memetic_MPX,15.0,10.0,1926.0,1024002.3333333334,450470.3333333333,450470.3333333333,450471.3333333333
10-25-1762875,Memetic_MMX,10.0,25.0,2831.0,1024001.6666666666,233959.0,233959.0,233960.0
10-25-1767920,Memetic_MPX,10.0,25.0,2436.0,1024003.3333333334,282510.3333333333,282510.3333333333,282511.3333333333
5-40-1767920,Memetic-LS_MPX,5.0,40.0,2746.3333333333335,1024003.0,845450.3333333334,845450.3333333334,845451.3333333334
5-25-1917698,Memetic_MMX,5.0,25.0,2831.6666666666665,1024004.0,306028.0,306028.0,306029.0
5-40-1891798,Memetic-LS_MPX,5.0,40.0,3131.3333333333335,1024002.0,757370.6666666666,757370.6666666666,757371.6666666666
5-10-1917698,Memetic-LS_MPX,5.0,10.0,1754.3333333333333,1024001.0,4613691.333333333,4613691.333333333,4613692.333333333
25-10-1110588,Memetic-LS_MPX,25.0,10.0,1519.3333333333333,1024001.0,1613452.3333333333,1613452.3333333333,1613453.3333333333
25-10-1762875,Memetic-LS_MPX,25.0,10.0,1478.0,1024001.0,1485191.0,1485191.0,1485192.0
5-25-1110588,Memetic-LS_MPX,5.0,25.0,2385.6666666666665,1024001.0,1773999.6666666667,1773999.6666666667,1774000.6666666667
15-10-1891798,Memetic-LS_MPX,15.0,10.0,1721.0,1024001.0,2122274.3333333335,2122274.3333333335,2122275.3333333335
20-10-1767920,Memetic-LS_MMX,20.0,10.0,1947.0,1024001.0,2505216.6666666665,2505216.6666666665,2505217.6666666665
5-25-1110588,Memetic_MMX,5.0,25.0,2525.3333333333335,1024004.0,299344.3333333333,299344.3333333333,299345.3333333333
5-25-1767920,Memetic_MMX,5.0,25.0,2701.3333333333335,1024002.6666666666,307312.0,307312.0,307313.0
5-40-1762875,Memetic_MMX,5.0,40.0,3710.6666666666665,1024003.6666666666,117351.33333333333,117351.33333333333,117352.33333333333
20-25-1917698,Memetic-LS_MMX,20.0,25.0,2476.6666666666665,1024001.3333333334,1128712.0,1128712.0,1128713.0
20-25-1110588,Memetic-LS_MPX,20.0,25.0,1556.6666666666667,1024002.0,1074315.6666666667,1074315.6666666667,1074316.6666666667
10-10-1110588,Memetic-LS_MPX,10.0,10.0,1706.6666666666667,1024001.0,2715115.0,2715115.0,2715116.0
25-10-1917698,Memetic_MMX,25.0,10.0,2009.3333333333333,1024001.3333333334,366674.6666666667,366674.6666666667,366675.6666666667
