instance,settings,m,n,value,time,nIter,best_iter,improv_count
20-25-1767920,Memetic-LS_MMX_1099666,20,25,2510.0,1024001.0,1272940,1272940,1272941
15-25-1762875,Memetic_MMX_1287823,15,25,2781.0,1024005.0,206588,206588,206589
10-10-1767920,Memetic-LS_MMX_1881515,10,10,1725.0,1024001.0,4295295,4295295,4295296
25-25-1110588,Memetic-LS_MPX_1881515,25,25,2210.0,1024001.0,807989,807989,807990
15-40-1767920,Memetic_MMX_1881515,15,40,3156.0,1024001.0,101803,101803,101804
20-25-1891798,Memetic-LS_MMX_1881515,20,25,2594.0,1024001.0,1227645,1227645,1227646
20-25-1762875,Memetic_MPX_1099666,20,25,2427.0,1024001.0,168493,168493,168494
25-25-1110588,Memetic_MPX_1881515,25,25,2473.0,1024002.0,157099,157099,157100
10-10-1767920,Memetic-LS_MPX_1099666,10,10,1663.0,1024001.0,3211928,3211928,3211929
15-40-1762875,Memetic-LS_MPX_1099666,15,40,2872.0,1024001.0,627069,627069,627070
15-40-1917698,Memetic-LS_MPX_1881515,15,40,2559.0,1024009.0,655162,655162,655163
5-10-1767920,Memetic-LS_MMX_1881515,5,10,1719.0,1024001.0,5638273,5638273,5638274
5-10-1891798,Memetic-LS_MMX_1099666,5,10,1898.0,1024001.0,5838174,5838174,5838175
10-25-1917698,Memetic-LS_MMX_1099666,10,25,2534.0,1024001.0,1373914,1373914,1373915
20-10-1917698,Memetic_MPX_1287823,20,10,1711.0,1024004.0,365424,365424,365425
10-10-1891798,Memetic-LS_MPX_1881515,10,10,2014.0,1024001.0,2686171,2686171,2686172
15-40-1917698,Memetic-LS_MMX_1287823,15,40,2959.0,1024001.0,722568,722568,722569
15-10-1110588,Memetic_MPX_1099666,15,10,1932.0,1024002.0,459298,459298,459299
10-25-1762875,Memetic_MMX_1099666,10,25,2816.0,1024003.0,232829,232829,232830
10-25-1767920,Memetic_MPX_1881515,10,25,2412.0,1024004.0,267599,267599,267600
5-40-1767920,Memetic-LS_MPX_1881515,5,40,2651.0,1024001.0,867033,867033,867034
5-25-1917698,Memetic_MMX_1881515,5,25,2835.0,1024002.0,308877,308877,308878
5-40-1891798,Memetic-LS_MPX_1099666,5,40,3108.0,1024001.0,810725,810725,810726
5-10-1917698,Memetic-LS_MPX_1881515,5,10,1710.0,1024001.0,4340501,4340501,4340502
25-10-1110588,Memetic-LS_MPX_1099666,25,10,1545.0,1024001.0,1601132,1601132,1601133
25-10-1762875,Memetic-LS_MPX_1881515,25,10,1495.0,1024001.0,1469027,1469027,1469028
5-25-1110588,Memetic-LS_MPX_1881515,5,25,2392.0,1024001.0,1892363,1892363,1892364
15-10-1891798,Memetic-LS_MPX_1287823,15,10,1706.0,1024001.0,2081514,2081514,2081515
20-10-1767920,Memetic-LS_MMX_1881515,20,10,1975.0,1024001.0,2329264,2329264,2329265
20-25-1762875,Memetic_MPX_1881515,20,25,2439.0,1024001.0,171023,171023,171024
5-25-1110588,Memetic_MMX_1099666,5,25,2526.0,1024003.0,311063,311063,311064
5-25-1767920,Memetic_MMX_1881515,5,25,2709.0,1024003.0,312645,312645,312646
5-40-1762875,Memetic_MMX_1881515,5,40,3691.0,1024004.0,112626,112626,112627
20-25-1917698,Memetic-LS_MMX_1881515,20,25,2515.0,1024001.0,1122371,1122371,1122372
20-25-1110588,Memetic-LS_MPX_1881515,20,25,1554.0,1024003.0,1055901,1055901,1055902
10-10-1110588,Memetic-LS_MPX_1287823,10,10,1695.0,1024001.0,2696587,2696587,2696588
25-10-1917698,Memetic_MMX_1287823,25,10,2014.0,1024001.0,370770,370770,370771
20-10-1110588,Memetic-LS_MPX_1099666,20,10,1627.0,1024001.0,1800452,1800452,1800453
5-25-1762875,Memetic_MPX_1287823,5,25,2568.0,1024001.0,396971,396971,396972
5-25-1110588,Memetic-LS_MMX_1099666,5,25,2381.0,1024001.0,2033780,2033780,2033781
25-25-1110588,Memetic_MMX_1881515,25,25,2793.0,1024006.0,156079,156079,156080
25-10-1917698,Memetic_MPX_1287823,25,10,1668.0,1024002.0,384527,384527,384528
5-40-1762875,Memetic-LS_MPX_1099666,5,40,3422.0,1024001.0,796292,796292,796293
15-40-1110588,Memetic-LS_MMX_1099666,15,40,2998.0,1024001.0,661008,661008,661009
5-10-1917698,Memetic_MPX_1099666,5,10,1817.0,1024001.0,1062446,1062446,1062447
25-10-1110588,Memetic_MMX_1099666,25,10,2126.0,1024003.0,328859,328859,328860
5-25-1891798,Memetic_MPX_1287823,5,25,2796.0,1024002.0,313739,313739,313740
10-25-1891798,Memetic-LS_MMX_1287823,10,25,2599.0,1024001.0,1529698,1529698,1529699
5-10-1891798,Memetic-LS_MPX_1881515,5,10,1903.0,1024001.0,5244346,5244346,5244347
20-10-1110588,Memetic-LS_MMX_1881515,20,10,1821.0,1024001.0,2368791,2368791,2368792
10-40-1767920,Memetic-LS_MPX_1287823,10,40,3124.0,1024001.0,675606,675606,675607
5-25-1762875,Memetic-LS_MPX_1881515,5,25,2483.0,1024001.0,1810930,1810930,1810931
5-10-1767920,Memetic_MPX_1881515,5,10,1738.0,1024001.0,1007813,1007813,1007814
15-40-1917698,Memetic_MPX_1881515,15,40,3061.0,1024003.0,110587,110587,110588
25-10-1110588,Memetic_MMX_1287823,25,10,2115.0,1024005.0,332230,332230,332231
20-25-1891798,Memetic_MMX_1287823,20,25,2857.0,1024004.0,175150,175150,175151
10-10-1917698,Memetic-LS_MMX_1881515,10,10,1933.0,1024001.0,4048291,4048291,4048292
10-25-1891798,Memetic-LS_MPX_1099666,10,25,2344.0,1024002.0,1230975,1230975,1230976
15-25-1891798,Memetic_MPX_1287823,15,25,2323.0,1024002.0,223370,223370,223371
15-40-1110588,Memetic-LS_MPX_1881515,15,40,2742.0,1024001.0,562554,562554,562555
10-25-1762875,Memetic-LS_MMX_1881515,10,25,2653.0,1024001.0,1530229,1530229,1530230
15-10-1767920,Memetic_MMX_1881515,15,10,1976.0,1024001.0,512989,512989,512990
10-25-1762875,Memetic_MMX_1287823,10,25,2836.0,1024001.0,235668,235668,235669
20-25-1762875,Memetic_MMX_1287823,20,25,2626.0,1024002.0,168244,168244,168245
5-10-1762875,Memetic-LS_MPX_1287823,5,10,1848.0,1024001.0,5075390,5075390,5075391
10-10-1762875,Memetic-LS_MMX_1881515,10,10,2043.0,1024001.0,4540891,4540891,4540892
15-10-1891798,Memetic_MPX_1099666,15,10,1810.0,1024002.0,496074,496074,496075
5-25-1110588,Memetic-LS_MMX_1881515,5,25,2338.0,1024001.0,2127434,2127434,2127435
10-40-1110588,Memetic-LS_MMX_1287823,10,40,2955.0,1024006.0,802697,802697,802698
5-25-1110588,Memetic-LS_MPX_1099666,5,25,2369.0,1024001.0,1707836,1707836,1707837
20-10-1917698,Memetic_MPX_1099666,20,10,1766.0,1024002.0,344547,344547,344548
10-25-1110588,Memetic_MMX_1881515,10,25,2826.0,1024003.0,223403,223403,223404
25-25-1917698,Memetic_MMX_1881515,25,25,2771.0,1024002.0,149017,149017,149018
25-10-1917698,Memetic-LS_MMX_1881515,25,10,1862.0,1024001.0,2187322,2187322,2187323
15-25-1891798,Memetic_MMX_1881515,15,25,2557.0,1024004.0,213415,213415,213416
10-10-1917698,Memetic_MPX_1881515,10,10,1907.0,1024002.0,579804,579804,579805
25-10-1767920,Memetic_MPX_1881515,25,10,1807.0,1024001.0,303026,303026,303027
5-10-1110588,Memetic_MPX_1881515,5,10,1950.0,1024001.0,1162487,1162487,1162488
15-10-1762875,Memetic_MMX_1287823,15,10,2035.0,1024001.0,434227,434227,434228
15-40-1891798,Memetic-LS_MPX_1287823,15,40,2480.0,1024001.0,644520,644520,644521
10-10-1767920,Memetic-LS_MMX_1099666,10,10,1691.0,1024001.0,4038525,4038525,4038526
10-25-1767920,Memetic-LS_MMX_1287823,10,25,2385.0,1024001.0,1454767,1454767,1454768
10-25-1110588,Memetic-LS_MMX_1099666,10,25,2631.0,1024001.0,1398896,1398896,1398897
25-25-1891798,Memetic-LS_MMX_1287823,25,25,2745.0,1024004.0,1032735,1032735,1032736
10-10-1767920,Memetic-LS_MPX_1287823,10,10,1690.0,1024001.0,3213258,3213258,3213259
5-10-1110588,Memetic-LS_MPX_1099666,5,10,1878.0,1024001.0,5019940,5019940,5019941
15-25-1891798,Memetic_MMX_1287823,15,25,2580.0,1024002.0,199116,199116,199117
15-10-1891798,Memetic-LS_MMX_1287823,15,10,1942.0,1024001.0,3189289,3189289,3189290
