instance_prefix,settings_prefix,m,n,value,time,nIter,best_iter,improv_count,solved
20-25,Memetic-LS_MMX,20.0,25.0,2415.4,1024001.3333333334,1203990.6666666667,1203990.6666666667,1203991.6666666667,15
15-25,Memetic_MMX,15.0,25.0,2757.266666666667,1024003.5333333333,198883.93333333332,198883.93333333332,198884.93333333332,15
10-10,Memetic-LS_MMX,10.0,10.0,1914.2,1024001.0,4253474.666666667,4253474.666666667,4253475.666666667,15
25-25,Memetic-LS_MPX,25.0,25.0,1935.6666666666667,1024002.0,861910.5333333333,861910.5333333333,861911.5333333333,15
15-40,Memetic_MMX,15.0,40.0,3314.2,1024013.4666666667,100430.13333333333,100430.13333333333,100431.13333333333,15
20-25,Memetic_MPX,20.0,25.0,2372.733333333333,1024005.4,177761.66666666666,177761.66666666666,177762.66666666666,15
25-25,Memetic_MPX,25.0,25.0,2369.4666666666667,1024005.4,143361.06666666668,143361.06666666668,143362.06666666668,15
10-10,Memetic-LS_MPX,10.0,10.0,1825.0,1024001.0,3081588.066666667,3081588.066666667,3081589.066666667,15
15-40,Memetic-LS_MPX,15.0,40.0,2767.2,1024002.4,649915.0666666667,649915.0666666667,649916.0666666667,15
5-10,Memetic-LS_MMX,5.0,10.0,1841.4,1024001.0,5901200.6,5901200.6,5901201.6,15
10-25,Memetic-LS_MMX,10.0,25.0,2561.3333333333335,1024001.3333333334,1503042.6666666667,1503042.6666666667,1503043.6666666667,15
20-10,Memetic_MPX,20.0,10.0,1828.7333333333333,1024001.9333333333,415925.6,415925.6,415926.6,15
15-40,Memetic-LS_MMX,15.0,40.0,3007.8,1024003.0666666667,716781.1333333333,716781.1333333333,716782.1333333333,15
15-10,Memetic_MPX,15.0,10.0,1862.6666666666667,1024001.6666666666,506254.2,506254.2,506255.2,15
10-25,Memetic_MMX,10.0,25.0,2723.0,1024003.3333333334,240912.73333333334,240912.73333333334,240913.73333333334,15
10-25,Memetic_MPX,10.0,25.0,2624.2,1024003.3333333334,257373.13333333333,257373.13333333333,257374.13333333333,15
5-40,Memetic-LS_MPX,5.0,40.0,3197.266666666667,1024002.0666666667,802237.2,802237.2,802238.2,15
5-25,Memetic_MMX,5.0,25.0,2696.6,1024002.7333333333,323007.0,323007.0,323008.0,15
5-10,Memetic-LS_MPX,5.0,10.0,1812.4666666666667,1024001.0,5176095.8,5176095.8,5176096.8,15
25-10,Memetic-LS_MPX,25.0,10.0,1447.7333333333333,1024001.0666666667,1669372.8,1669372.8,1669373.8,15
5-25,Memetic-LS_MPX,5.0,25.0,2516.733333333333,1024001.0666666667,1738434.2666666666,1738434.2666666666,1738435.2666666666,15
15-10,Memetic-LS_MPX,15.0,10.0,1744.6666666666667,1024001.0,2383704.2,2383704.2,2383705.2,15
20-10,Memetic-LS_MMX,20.0,10.0,1933.3333333333333,1024001.0666666667,2340434.066666667,2340434.066666667,2340435.066666667,15
5-40,Memetic_MMX,5.0,40.0,3483.8,1024005.2666666667,128350.53333333334,128350.53333333334,128351.53333333334,15
20-25,Memetic-LS_MPX,20.0,25.0,2010.2666666666667,1024001.4666666667,1001595.1333333333,1001595.1333333333,1001596.1333333333,15
25-10,Memetic_MMX,25.0,10.0,2052.866666666667,1024001.7333333333,337846.4666666667,337846.4666666667,337847.4666666667,15
20-10,Memetic-LS_MPX,20.0,10.0,1700.7333333333333,1024001.0,1784120.7333333334,1784120.7333333334,1784121.7333333334,15
5-25,Memetic_MPX,5.0,25.0,2665.6,1024002.6,381372.5333333333,381372.5333333333,381373.5333333333,15
5-25,Memetic-LS_MMX,5.0,25.0,2558.733333333333,1024001.0666666667,2019919.4666666666,2019919.4666666666,2019920.4666666666,15
25-25,Memetic_MMX,25.0,25.0,2780.0666666666666,1024004.2,156208.6,156208.6,156209.6,15
25-10,Memetic_MPX,25.0,10.0,1722.2666666666667,1024002.7333333333,316865.73333333334,316865.73333333334,316866.73333333334,15
5-10,Memetic_MPX,5.0,10.0,1872.4,1024001.0666666667,1089799.6,1089799.6,1089800.6,15
10-40,Memetic-LS_MPX,10.0,40.0,3054.9333333333334,1024003.0,698601.3333333334,698601.3333333334,698602.3333333334,15
15-40,Memetic_MPX,15.0,40.0,3119.4,1024006.9333333333,103119.06666666667,103119.06666666667,103120.06666666667,15
20-25,Memetic_MMX,20.0,25.0,2649.6,1024003.0666666667,173383.26666666666,173383.26666666666,173384.26666666666,15
10-25,Memetic-LS_MPX,10.0,25.0,2437.5333333333333,1024001.1333333333,1240766.4666666666,1240766.4666666666,1240767.4666666666,15
15-25,Memetic_MPX,15.0,25.0,2581.9333333333334,1024004.4666666667,206712.26666666666,206712.26666666666,206713.26666666666,15
15-10,Memetic_MMX,15.0,10.0,1974.3333333333333,1024001.6666666666,518509.0,518509.0,518510.0,15
10-40,Memetic-LS_MMX,10.0,40.0,3212.2,1024003.8,803319.4,803319.4,803320.4,15
25-10,Memetic-LS_MMX,25.0,10.0,1880.8666666666666,1024001.0666666667,2096805.3333333333,2096805.3333333333,2096806.3333333333,15
10-10,Memetic_MPX,10.0,10.0,1931.1333333333334,1024001.6666666666,709043.7333333333,709043.7333333333,709044.7333333333,15
25-25,Memetic-LS_MMX,25.0,25.0,2569.4,1024001.5333333333,1056179.1333333333,1056179.1333333333,1056180.1333333333,15
15-10,Memetic-LS_MMX,15.0,10.0,1891.0666666666666,1024001.0,3230784.6666666665,3230784.6666666665,3230785.6666666665,15
10-40,Memetic_MMX,10.0,40.0,3488.0,1024005.0,108827.4,108827.4,108828.4,15
10-40,Memetic_MPX,10.0,40.0,3374.8,1024006.1333333333,110679.66666666667,110679.66666666667,110680.66666666667,15
5-10,Memetic_MMX,5.0,10.0,1876.7333333333333,1024001.8,968928.2666666667,968928.2666666667,968929.2666666667,15
15-25,Memetic-LS_MPX,15.0,25.0,2381.0,1024001.8,1120762.4666666666,1120762.4666666666,1120763.4666666666,15
20-10,Memetic_MMX,20.0,10.0,2054.6,1024001.8666666667,412908.8,412908.8,412909.8,15
10-10,Memetic_MMX,10.0,10.0,1983.7333333333333,1024001.4,702789.3333333334,702789.3333333334,702790.3333333334,15
5-40,Memetic-LS_MMX,5.0,40.0,3170.8,1024002.4,935151.2,935151.2,935152.2,15
15-25,Memetic-LS_MMX,15.0,25.0,2580.9333333333334,1024001.6,1292209.0,1292209.0,1292210.0,15
5-40,Memetic_MPX,5.0,40.0,3448.8,1024008.7333333333,136497.06666666668,136497.06666666668,136498.06666666668,15
