instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
20-25-1767920,Memetic-LS_MMX,20.0,25.0,2503.0,1024001.0,1211396.6666666667,1211396.6666666667,1211397.6666666667
15-25-1762875,Memetic_MMX,15.0,25.0,2750.3333333333335,1024002.0,212318.66666666666,212318.66666666666,212319.66666666666
10-10-1767920,Memetic-LS_MMX,10.0,10.0,1670.0,1024001.0,4189714.6666666665,4189714.6666666665,4189715.6666666665
25-25-1110588,Memetic-LS_MPX,25.0,25.0,2130.3333333333335,1024002.0,853196.0,853196.0,853197.0
15-40-1767920,Memetic_MMX,15.0,40.0,3177.3333333333335,1024009.0,105719.33333333333,105719.33333333333,105720.33333333333
20-25-1891798,Memetic-LS_MMX,20.0,25.0,2613.6666666666665,1024001.6666666666,1214286.3333333333,1214286.3333333333,1214287.3333333333
20-25-1762875,Memetic_MPX,20.0,25.0,2468.3333333333335,1024005.0,171908.0,171908.0,171909.0
25-25-1110588,Memetic_MPX,25.0,25.0,2425.0,1024003.0,149950.0,149950.0,149951.0
10-10-1767920,Memetic-LS_MPX,10.0,10.0,1687.3333333333333,1024001.0,3123203.3333333335,3123203.3333333335,3123204.3333333335
15-40-1762875,Memetic-LS_MPX,15.0,40.0,2851.0,1024002.6666666666,624575.6666666666,624575.6666666666,624576.6666666666
15-40-1917698,Memetic-LS_MPX,15.0,40.0,2636.3333333333335,1024001.3333333334,676359.0,676359.0,676360.0
5-10-1767920,Memetic-LS_MMX,5.0,10.0,1712.0,1024001.0,5523939.333333333,5523939.333333333,5523940.333333333
5-10-1891798,Memetic-LS_MMX,5.0,10.0,1921.3333333333333,1024001.0,5899692.666666667,5899692.666666667,5899693.666666667
10-25-1917698,Memetic-LS_MMX,10.0,25.0,2556.6666666666665,1024001.0,1481601.3333333333,1481601.3333333333,1481602.3333333333
20-10-1917698,Memetic_MPX,20.0,10.0,1769.3333333333333,1024001.6666666666,359094.6666666667,359094.6666666667,359095.6666666667
10-10-1891798,Memetic-LS_MPX,10.0,10.0,1969.0,1024001.0,2811827.3333333335,2811827.3333333335,2811828.3333333335
15-40-1917698,Memetic-LS_MMX,15.0,40.0,2992.0,1024004.3333333334,724334.0,724334.0,724335.0
15-10-1110588,Memetic_MPX,15.0,10.0,1912.3333333333333,1024001.0,461025.6666666667,461025.6666666667,461026.6666666667
10-25-1762875,Memetic_MMX,10.0,25.0,2825.0,1024002.3333333334,242469.33333333334,242469.33333333334,242470.33333333334
10-25-1767920,Memetic_MPX,10.0,25.0,2436.0,1024002.3333333334,304204.0,304204.0,304205.0
5-40-1767920,Memetic-LS_MPX,5.0,40.0,2888.6666666666665,1024001.6666666666,792331.3333333334,792331.3333333334,792332.3333333334
5-25-1917698,Memetic_MMX,5.0,25.0,2815.0,1024002.6666666666,299198.6666666667,299198.6666666667,299199.6666666667
5-40-1891798,Memetic-LS_MPX,5.0,40.0,3138.0,1024001.3333333334,775310.0,775310.0,775311.0
5-10-1917698,Memetic-LS_MPX,5.0,10.0,1755.6666666666667,1024001.0,5343212.333333333,5343212.333333333,5343213.333333333
25-10-1110588,Memetic-LS_MPX,25.0,10.0,1489.3333333333333,1024001.0,1704343.0,1704343.0,1704344.0
25-10-1762875,Memetic-LS_MPX,25.0,10.0,1534.0,1024001.3333333334,1599966.3333333333,1599966.3333333333,1599967.3333333333
5-25-1110588,Memetic-LS_MPX,5.0,25.0,2364.3333333333335,1024001.0,1718826.3333333333,1718826.3333333333,1718827.3333333333
15-10-1891798,Memetic-LS_MPX,15.0,10.0,1701.6666666666667,1024001.0,2208699.3333333335,2208699.3333333335,2208700.3333333335
20-10-1767920,Memetic-LS_MMX,20.0,10.0,1954.3333333333333,1024001.0,2393604.0,2393604.0,2393605.0
5-25-1110588,Memetic_MMX,5.0,25.0,2514.6666666666665,1024002.3333333334,330909.0,330909.0,330910.0
5-25-1767920,Memetic_MMX,5.0,25.0,2690.3333333333335,1024003.3333333334,296919.0,296919.0,296920.0
5-40-1762875,Memetic_MMX,5.0,40.0,3719.3333333333335,1024003.3333333334,116625.66666666667,116625.66666666667,116626.66666666667
20-25-1917698,Memetic-LS_MMX,20.0,25.0,2504.3333333333335,1024002.0,1195591.0,1195591.0,1195592.0
20-25-1110588,Memetic-LS_MPX,20.0,25.0,1348.0,1024001.0,1112874.6666666667,1112874.6666666667,1112875.6666666667
10-10-1110588,Memetic-LS_MPX,10.0,10.0,1706.0,1024001.0,3068668.6666666665,3068668.6666666665,3068669.6666666665
25-10-1917698,Memetic_MMX,25.0,10.0,2009.0,1024002.0,356367.6666666667,356367.6666666667,356368.6666666667
20-10-1110588,Memetic-LS_MPX,20.0,10.0,1626.3333333333333,1024001.0,1796632.3333333333,1796632.3333333333,1796633.3333333333
5-25-1762875,Memetic_MPX,5.0,25.0,2565.0,1024002.0,390295.3333333333,390295.3333333333,390296.3333333333
5-25-1110588,Memetic-LS_MMX,5.0,25.0,2398.0,1024001.3333333334,2102734.6666666665,2102734.6666666665,2102735.6666666665
25-25-1110588,Memetic_MMX,25.0,25.0,2761.3333333333335,1024002.6666666666,155091.0,155091.0,155092.0
25-10-1917698,Memetic_MPX,25.0,10.0,1696.3333333333333,1024002.0,376352.6666666667,376352.6666666667,376353.6666666667
5-40-1762875,Memetic-LS_MPX,5.0,40.0,3434.0,1024002.3333333334,805352.0,805352.0,805353.0
15-40-1110588,Memetic-LS_MMX,15.0,40.0,3131.0,1024005.6666666666,719100.6666666666,719100.6666666666,719101.6666666666
5-10-1917698,Memetic_MPX,5.0,10.0,1821.6666666666667,1024001.0,1029833.6666666666,1029833.6666666666,1029834.6666666666
25-10-1110588,Memetic_MMX,25.0,10.0,2112.6666666666665,1024001.3333333334,310956.0,310956.0,310957.0
5-25-1891798,Memetic_MPX,5.0,25.0,2801.0,1024003.3333333334,322373.3333333333,322373.3333333333,322374.3333333333
10-25-1891798,Memetic-LS_MMX,10.0,25.0,2587.6666666666665,1024001.0,1531979.6666666667,1531979.6666666667,1531980.6666666667
5-10-1891798,Memetic-LS_MPX,5.0,10.0,1907.0,1024001.0,5479187.333333333,5479187.333333333,5479188.333333333
20-10-1110588,Memetic-LS_MMX,20.0,10.0,1848.0,1024001.0,2288583.0,2288583.0,2288584.0
10-40-1767920,Memetic-LS_MPX,10.0,40.0,3151.3333333333335,1024001.6666666666,670954.0,670954.0,670955.0
5-25-1762875,Memetic-LS_MPX,5.0,25.0,2406.6666666666665,1024001.0,1538337.0,1538337.0,1538338.0
5-10-1767920,Memetic_MPX,5.0,10.0,1732.3333333333333,1024001.0,1006240.3333333334,1006240.3333333334,1006241.3333333334
15-40-1917698,Memetic_MPX,15.0,40.0,3058.0,1024003.3333333334,111723.66666666667,111723.66666666667,111724.66666666667
20-25-1891798,Memetic_MMX,20.0,25.0,2854.6666666666665,1024001.6666666666,183587.66666666666,183587.66666666666,183588.66666666666
10-10-1917698,Memetic-LS_MMX,10.0,10.0,1936.0,1024001.0,4022621.3333333335,4022621.3333333335,4022622.3333333335
10-25-1891798,Memetic-LS_MPX,10.0,25.0,2419.3333333333335,1024001.0,1219934.0,1219934.0,1219935.0
15-25-1891798,Memetic_MPX,15.0,25.0,2338.0,1024001.6666666666,230791.33333333334,230791.33333333334,230792.33333333334
15-40-1110588,Memetic-LS_MPX,15.0,40.0,2906.6666666666665,1024001.0,668353.3333333334,668353.3333333334,668354.3333333334
10-25-1762875,Memetic-LS_MMX,10.0,25.0,2641.6666666666665,1024001.3333333334,1506215.0,1506215.0,1506216.0
15-10-1767920,Memetic_MMX,15.0,10.0,1976.0,1024002.0,494113.0,494113.0,494114.0
20-25-1762875,Memetic_MMX,20.0,25.0,2633.0,1024002.6666666666,166105.33333333334,166105.33333333334,166106.33333333334
5-10-1762875,Memetic-LS_MPX,5.0,10.0,1860.3333333333333,1024001.0,5219680.333333333,5219680.333333333,5219681.333333333
10-10-1762875,Memetic-LS_MMX,10.0,10.0,2033.0,1024001.0,4562008.666666667,4562008.666666667,4562009.666666667
15-10-1891798,Memetic_MPX,15.0,10.0,1851.0,1024001.3333333334,506767.6666666667,506767.6666666667,506768.6666666667
10-40-1110588,Memetic-LS_MMX,10.0,40.0,2988.6666666666665,1024002.3333333334,797639.0,797639.0,797640.0
10-25-1110588,Memetic_MMX,10.0,25.0,2816.0,1024004.3333333334,229324.0,229324.0,229325.0
25-25-1917698,Memetic_MMX,25.0,25.0,2756.6666666666665,1024002.0,158863.0,158863.0,158864.0
25-10-1917698,Memetic-LS_MMX,25.0,10.0,1852.0,1024001.0,2070444.3333333333,2070444.3333333333,2070445.3333333333
15-25-1891798,Memetic_MMX,15.0,25.0,2555.0,1024003.6666666666,202875.0,202875.0,202876.0
10-10-1917698,Memetic_MPX,10.0,10.0,1924.3333333333333,1024001.0,666928.0,666928.0,666929.0
25-10-1767920,Memetic_MPX,25.0,10.0,1850.0,1024002.3333333334,302609.0,302609.0,302610.0
5-10-1110588,Memetic_MPX,5.0,10.0,1954.6666666666667,1024001.0,1216124.6666666667,1216124.6666666667,1216125.6666666667
15-10-1762875,Memetic_MMX,15.0,10.0,2027.0,1024002.3333333334,468323.0,468323.0,468324.0
15-40-1891798,Memetic-LS_MPX,15.0,40.0,2745.6666666666665,1024002.3333333334,614432.3333333334,614432.3333333334,614433.3333333334
10-25-1767920,Memetic-LS_MMX,10.0,25.0,2361.3333333333335,1024001.3333333334,1561684.6666666667,1561684.6666666667,1561685.6666666667
10-25-1110588,Memetic-LS_MMX,10.0,25.0,2659.3333333333335,1024002.0,1433732.6666666667,1433732.6666666667,1433733.6666666667
25-25-1891798,Memetic-LS_MMX,25.0,25.0,2617.0,1024001.0,1096972.6666666667,1096972.6666666667,1096973.6666666667
5-10-1110588,Memetic-LS_MPX,5.0,10.0,1885.6666666666667,1024001.0,5196423.333333333,5196423.333333333,5196424.333333333
15-10-1891798,Memetic-LS_MMX,15.0,10.0,1919.0,1024001.0,3237098.6666666665,3237098.6666666665,3237099.6666666665
25-10-1767920,Memetic-LS_MMX,25.0,10.0,1947.0,1024001.0,2163449.0,2163449.0,2163450.0
10-40-1891798,Memetic_MMX,10.0,40.0,3407.3333333333335,1024009.0,106653.33333333333,106653.33333333333,106654.33333333333
