instance,settings,m,n,value,time,nIter,best_iter,improv_count
20-25-1767920,Memetic-LS_MMX_1099666,20,25,2548.0,1024001.0,1184446,1184446,1184447
15-25-1762875,Memetic_MMX_1287823,15,25,2751.0,1024002.0,226413,226413,226414
10-10-1767920,Memetic-LS_MMX_1881515,10,10,1607.0,1024001.0,4275404,4275404,4275405
25-25-1110588,Memetic-LS_MPX_1881515,25,25,2058.0,1024004.0,880330,880330,880331
15-40-1767920,Memetic_MMX_1881515,15,40,3156.0,1024018.0,99254,99254,99255
20-25-1891798,Memetic-LS_MMX_1881515,20,25,2586.0,1024001.0,1269989,1269989,1269990
20-25-1762875,Memetic_MPX_1099666,20,25,2466.0,1024006.0,178718,178718,178719
25-25-1110588,Memetic_MPX_1881515,25,25,2445.0,1024003.0,149380,149380,149381
10-10-1767920,Memetic-LS_MPX_1099666,10,10,1696.0,1024001.0,3133162,3133162,3133163
15-40-1762875,Memetic-LS_MPX_1099666,15,40,2820.0,1024002.0,604002,604002,604003
15-40-1917698,Memetic-LS_MPX_1881515,15,40,2631.0,1024001.0,668911,668911,668912
5-10-1767920,Memetic-LS_MMX_1881515,5,10,1713.0,1024001.0,5623471,5623471,5623472
5-10-1891798,Memetic-LS_MMX_1099666,5,10,1905.0,1024001.0,6001892,6001892,6001893
10-25-1917698,Memetic-LS_MMX_1099666,10,25,2654.0,1024001.0,1519618,1519618,1519619
20-10-1917698,Memetic_MPX_1287823,20,10,1775.0,1024002.0,361302,361302,361303
10-10-1891798,Memetic-LS_MPX_1881515,10,10,2017.0,1024001.0,2585455,2585455,2585456
15-40-1917698,Memetic-LS_MMX_1287823,15,40,2962.0,1024011.0,747561,747561,747562
15-10-1110588,Memetic_MPX_1099666,15,10,1913.0,1024001.0,470571,470571,470572
10-25-1762875,Memetic_MMX_1099666,10,25,2823.0,1024001.0,238689,238689,238690
10-25-1767920,Memetic_MPX_1881515,10,25,2463.0,1024003.0,311347,311347,311348
5-40-1767920,Memetic-LS_MPX_1881515,5,40,2920.0,1024001.0,835393,835393,835394
5-25-1917698,Memetic_MMX_1881515,5,25,2822.0,1024003.0,275320,275320,275321
5-40-1891798,Memetic-LS_MPX_1099666,5,40,3158.0,1024002.0,789434,789434,789435
5-10-1917698,Memetic-LS_MPX_1881515,5,10,1739.0,1024001.0,4991682,4991682,4991683
25-10-1110588,Memetic-LS_MPX_1099666,25,10,1422.0,1024001.0,1694917,1694917,1694918
25-10-1762875,Memetic-LS_MPX_1881515,25,10,1588.0,1024001.0,1594910,1594910,1594911
5-25-1110588,Memetic-LS_MPX_1881515,5,25,2376.0,1024001.0,1876243,1876243,1876244
15-10-1891798,Memetic-LS_MPX_1287823,15,10,1737.0,1024001.0,2227854,2227854,2227855
20-10-1767920,Memetic-LS_MMX_1881515,20,10,1935.0,1024001.0,2410458,2410458,2410459
20-25-1762875,Memetic_MPX_1881515,20,25,2463.0,1024003.0,166801,166801,166802
5-25-1110588,Memetic_MMX_1099666,5,25,2513.0,1024004.0,331486,331486,331487
5-25-1767920,Memetic_MMX_1881515,5,25,2696.0,1024002.0,297143,297143,297144
5-40-1762875,Memetic_MMX_1881515,5,40,3724.0,1024001.0,112891,112891,112892
20-25-1917698,Memetic-LS_MMX_1881515,20,25,2525.0,1024003.0,1179398,1179398,1179399
20-25-1110588,Memetic-LS_MPX_1881515,20,25,1205.0,1024001.0,1134137,1134137,1134138
10-10-1110588,Memetic-LS_MPX_1287823,10,10,1753.0,1024001.0,3192318,3192318,3192319
25-10-1917698,Memetic_MMX_1287823,25,10,2006.0,1024001.0,356726,356726,356727
20-10-1110588,Memetic-LS_MPX_1099666,20,10,1678.0,1024001.0,1791037,1791037,1791038
5-25-1762875,Memetic_MPX_1287823,5,25,2562.0,1024002.0,394073,394073,394074
5-25-1110588,Memetic-LS_MMX_1099666,5,25,2397.0,1024002.0,2151804,2151804,2151805
25-25-1110588,Memetic_MMX_1881515,25,25,2757.0,1024003.0,156827,156827,156828
25-10-1917698,Memetic_MPX_1287823,25,10,1719.0,1024002.0,380051,380051,380052
5-40-1762875,Memetic-LS_MPX_1099666,5,40,3480.0,1024005.0,787103,787103,787104
15-40-1110588,Memetic-LS_MMX_1099666,15,40,3106.0,1024006.0,718872,718872,718873
5-10-1917698,Memetic_MPX_1099666,5,10,1816.0,1024001.0,1088289,1088289,1088290
25-10-1110588,Memetic_MMX_1099666,25,10,2107.0,1024001.0,299736,299736,299737
5-25-1891798,Memetic_MPX_1287823,5,25,2797.0,1024003.0,343662,343662,343663
10-25-1891798,Memetic-LS_MMX_1287823,10,25,2594.0,1024001.0,1560620,1560620,1560621
5-10-1891798,Memetic-LS_MPX_1881515,5,10,1886.0,1024001.0,5198686,5198686,5198687
20-10-1110588,Memetic-LS_MMX_1881515,20,10,1814.0,1024001.0,2236650,2236650,2236651
10-40-1767920,Memetic-LS_MPX_1287823,10,40,3228.0,1024002.0,639704,639704,639705
5-25-1762875,Memetic-LS_MPX_1881515,5,25,2430.0,1024001.0,1809011,1809011,1809012
5-10-1767920,Memetic_MPX_1881515,5,10,1728.0,1024001.0,973659,973659,973660
15-40-1917698,Memetic_MPX_1881515,15,40,3070.0,1024001.0,116606,116606,116607
25-10-1110588,Memetic_MMX_1287823,25,10,2122.0,1024001.0,327752,327752,327753
20-25-1891798,Memetic_MMX_1287823,20,25,2848.0,1024002.0,180793,180793,180794
10-10-1917698,Memetic-LS_MMX_1881515,10,10,1941.0,1024001.0,4137246,4137246,4137247
10-25-1891798,Memetic-LS_MPX_1099666,10,25,2444.0,1024001.0,1317027,1317027,1317028
