instance_prefix,settings_prefix,m,n,value,time,nIter,best_iter,improv_count,solved
WS_mm-10-40,Memetic_MMX,10.0,40.0,7666.533333333334,840544.1333333333,55218.46666666667,55218.46666666667,55218.933333333334,15
WS_mm-10-10,Memetic-LS_MMX,10.0,10.0,3289.4666666666667,1024001.0,3316934.066666667,3316934.066666667,3316935.066666667,15
WS_mm-10-10,Memetic_MMX,10.0,10.0,3478.866666666667,680535.1333333333,225934.53333333333,225934.53333333333,225934.73333333334,15
WS_mm-10-25,Memetic-LS_MMX,10.0,25.0,5244.066666666667,1024001.5333333333,1171919.7333333334,1171919.7333333334,1171920.7333333334,15
WS_mm-5-40,Memetic-LS_MMX,5.0,40.0,6493.666666666667,1024002.2,749540.7333333333,749540.7333333333,749541.7333333333,15
WS_mm-25-10,Memetic-LS_MPX,25.0,10.0,2262.0,1024001.0666666667,2138060.8,2138060.8,2138061.8,15
WS_mm-15-40,Memetic_MPX,15.0,40.0,7173.6,1024008.2666666667,66186.66666666667,66186.66666666667,66187.66666666667,15
WS_mm-5-10,Memetic-LS_MMX,5.0,10.0,2790.9333333333334,1024001.0,4830083.866666666,4830083.866666666,4830084.866666666,15
WS_mm-25-25,Memetic-LS_MPX,25.0,25.0,2239.733333333333,1024001.4,1219106.2666666666,1219106.2666666666,1219107.2666666666,15
WS_mm-25-25,Memetic_MPX,25.0,25.0,5713.8,1024005.6666666666,100554.4,100554.4,100555.4,15
WS_mm-20-25,Memetic_MMX,20.0,25.0,6607.066666666667,866140.3333333334,65037.73333333333,65037.73333333333,65038.333333333336,15
WS_mm-20-10,Memetic-LS_MMX,20.0,10.0,3835.866666666667,1024001.0,2279007.1333333333,2279007.1333333333,2279008.1333333333,15
WS_mm-5-25,Memetic-LS_MMX,5.0,25.0,5075.6,1024001.3333333334,1293385.3333333333,1293385.3333333333,1293386.3333333333,15
WS_mm-10-25,Memetic-LS_MPX,10.0,25.0,4763.933333333333,1024001.4,1064359.0666666667,1064359.0666666667,1064360.0666666667,15
WS_mm-20-25,Memetic_MPX,20.0,25.0,5757.933333333333,1024006.1333333333,104551.2,104551.2,104552.2,15
WS_mm-25-10,Memetic_MPX,25.0,10.0,4368.066666666667,1024003.5333333333,192190.4,192190.4,192191.4,15
WS_mm-5-25,Memetic_MPX,5.0,25.0,5429.133333333333,1024004.5333333333,171995.53333333333,171995.53333333333,171996.53333333333,15
WS_mm-15-10,Memetic-LS_MMX,15.0,10.0,3961.0666666666666,1024001.0666666667,2511175.066666667,2511175.066666667,2511176.066666667,15
WS_mm-25-25,Memetic-LS_MMX,25.0,25.0,5264.066666666667,1024001.6666666666,1030429.8666666667,1030429.8666666667,1030430.8666666667,15
WS_mm-5-40,Memetic_MPX,5.0,40.0,7349.133333333333,1024010.4666666667,69325.53333333334,69325.53333333334,69326.53333333334,15
WS_mm-10-40,Memetic_MPX,10.0,40.0,7177.866666666667,1024005.5333333333,73606.73333333334,73606.73333333334,73607.73333333334,15
WS_mm-20-25,Memetic-LS_MMX,20.0,25.0,5322.066666666667,1024001.9333333333,1066674.2,1066674.2,1066675.2,15
WS_mm-5-40,Memetic-LS_MPX,5.0,40.0,6227.6,1024002.1333333333,622851.5333333333,622851.5333333333,622852.5333333333,15
WS_mm-25-10,Memetic-LS_MMX,25.0,10.0,4123.466666666666,1024001.0666666667,1983252.0666666667,1983252.0666666667,1983253.0666666667,15
WS_mm-10-25,Memetic_MMX,10.0,25.0,6000.8,972805.7333333333,116974.46666666666,116974.46666666666,116975.33333333333,15
WS_mm-20-10,Memetic_MPX,20.0,10.0,4032.5333333333333,1024002.8,249445.26666666666,249445.26666666666,249446.26666666666,15
WS_mm-5-10,Memetic_MMX,5.0,10.0,2872.5333333333333,659201.0666666667,392761.4666666667,392761.4666666667,392761.5333333333,15
WS_mm-25-10,Memetic_MMX,25.0,10.0,4984.933333333333,844803.8666666667,113849.73333333334,113849.73333333334,113850.2,15
WS_mm-15-40,Memetic-LS_MMX,15.0,40.0,6123.6,1024003.3333333334,653920.4,653920.4,653921.4,15
WS_mm-15-40,Memetic_MMX,15.0,40.0,8054.8,780811.1333333333,38656.066666666666,38656.066666666666,38656.4,15
WS_mm-5-40,Memetic_MMX,5.0,40.0,7515.533333333334,802140.8,64296.46666666667,64296.46666666667,64296.8,15
WS_mm-10-40,Memetic-LS_MPX,10.0,40.0,5521.8,1024003.0666666667,694175.2,694175.2,694176.2,15
WS_mm-25-25,Memetic_MMX,25.0,25.0,6815.533333333334,1024009.4666666667,70203.4,70203.4,70204.4,15
WS_mm-5-25,Memetic_MMX,5.0,25.0,5473.0,674136.4666666667,113334.73333333334,113334.73333333334,113334.66666666667,15
WS_mm-15-10,Memetic-LS_MPX,15.0,10.0,3088.8,1024001.0,2498688.6666666665,2498688.6666666665,2498689.6666666665,15
WS_mm-10-10,Memetic-LS_MPX,10.0,10.0,3068.0666666666666,1024001.0,2343909.2666666666,2343909.2666666666,2343910.2666666666,15
WS_mm-20-10,Memetic_MMX,20.0,10.0,4510.733333333334,955737.7333333333,177964.66666666666,177964.66666666666,177965.4,15
WS_mm-10-40,Memetic-LS_MMX,10.0,40.0,6069.4,1024002.9333333333,684884.4,684884.4,684885.4,15
WS_mm-5-25,Memetic-LS_MPX,5.0,25.0,4884.666666666667,1024001.3333333334,1134018.4,1134018.4,1134019.4,15
WS_mm-15-25,Memetic_MPX,15.0,25.0,5827.533333333334,1024006.3333333334,114876.0,114876.0,114877.0,15
WS_mm-15-25,Memetic-LS_MMX,15.0,25.0,5412.266666666666,1024001.4,1077658.0666666667,1077658.0666666667,1077659.0666666667,15
WS_mm-15-10,Memetic_MPX,15.0,10.0,3969.4,1024002.6,274429.26666666666,274429.26666666666,274430.26666666666,15
WS_mm-20-10,Memetic-LS_MPX,20.0,10.0,2263.6,1024001.0666666667,2461316.8,2461316.8,2461317.8,15
WS_mm-15-25,Memetic-LS_MPX,15.0,25.0,3756.0666666666666,1024001.4666666667,1392216.9333333333,1392216.9333333333,1392217.9333333333,15
WS_mm-10-25,Memetic_MPX,10.0,25.0,5705.066666666667,1024004.8666666667,140343.26666666666,140343.26666666666,140344.26666666666,15
WS_mm-10-10,Memetic_MPX,10.0,10.0,3379.133333333333,1024002.2666666667,406940.6666666667,406940.6666666667,406941.6666666667,15
WS_mm-15-40,Memetic-LS_MPX,15.0,40.0,4106.866666666667,1024001.6666666666,808867.5333333333,808867.5333333333,808868.5333333333,15
WS_mm-5-10,Memetic-LS_MPX,5.0,10.0,2750.0666666666666,1024001.0,4174280.6666666665,4174280.6666666665,4174281.6666666665,15
WS_mm-5-10,Memetic_MPX,5.0,10.0,2873.266666666667,1024001.4666666667,706836.6666666666,706836.6666666666,706837.6666666666,15
WS_mm-15-25,Memetic_MMX,15.0,25.0,6417.066666666667,1024005.5333333333,87476.8,87476.8,87477.8,15
WS_mm-20-25,Memetic-LS_MPX,20.0,25.0,2793.0,1024001.3333333334,1316000.4,1316000.4,1316001.4,15
WS_mm-15-10,Memetic_MMX,15.0,10.0,4282.6,930136.2,196857.46666666667,196857.46666666667,196858.2,15
