instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
WS_mm-10-40-1917698,Memetic_MMX,10.0,40.0,7758.0,1024004.3333333334,64026.333333333336,64026.333333333336,64027.333333333336
WS_mm-10-10-1762875,Memetic-LS_MMX,10.0,10.0,2805.0,1024001.0,4074659.3333333335,4074659.3333333335,4074660.3333333335
WS_mm-10-10-1917698,Memetic_MMX,10.0,10.0,3583.3333333333335,1024002.3333333334,350600.6666666667,350600.6666666667,350601.6666666667
WS_mm-10-25-1917698,Memetic-LS_MMX,10.0,25.0,4710.0,1024002.0,1228480.3333333333,1228480.3333333333,1228481.3333333333
WS_mm-5-40-1917698,Memetic-LS_MMX,5.0,40.0,6553.333333333333,1024001.6666666666,690453.0,690453.0,690454.0
WS_mm-25-10-1917698,Memetic-LS_MPX,25.0,10.0,2257.6666666666665,1024001.0,2131410.6666666665,2131410.6666666665,2131411.6666666665
WS_mm-15-40-1767920,Memetic_MPX,15.0,40.0,7380.0,1024016.6666666666,54478.333333333336,54478.333333333336,54479.333333333336
WS_mm-5-10-1891798,Memetic-LS_MMX,5.0,10.0,3103.6666666666665,1024001.0,4463396.333333333,4463396.333333333,4463397.333333333
WS_mm-25-25-1762875,Memetic-LS_MPX,25.0,25.0,2129.6666666666665,1024002.0,1221487.6666666667,1221487.6666666667,1221488.6666666667
WS_mm-10-25-1110588,Memetic-LS_MMX,10.0,25.0,5388.333333333333,1024001.6666666666,1201991.6666666667,1201991.6666666667,1201992.6666666667
WS_mm-25-25-1110588,Memetic_MPX,25.0,25.0,6049.333333333333,1024003.3333333334,96719.0,96719.0,96720.0
WS_mm-20-25-1917698,Memetic_MMX,20.0,25.0,6481.0,1024009.3333333334,70666.66666666667,70666.66666666667,70667.66666666667
WS_mm-20-10-1110588,Memetic-LS_MMX,20.0,10.0,3468.0,1024001.0,2502280.3333333335,2502280.3333333335,2502281.3333333335
WS_mm-5-25-1762875,Memetic-LS_MMX,5.0,25.0,5264.666666666667,1024001.3333333334,1205571.0,1205571.0,1205572.0
WS_mm-5-40-1891798,Memetic-LS_MMX,5.0,40.0,6665.0,1024003.3333333334,726633.3333333334,726633.3333333334,726634.3333333334
WS_mm-10-25-1767920,Memetic-LS_MMX,10.0,25.0,5410.666666666667,1024001.0,1134521.6666666667,1134521.6666666667,1134522.6666666667
WS_mm-10-25-1891798,Memetic-LS_MPX,10.0,25.0,5109.666666666667,1024001.6666666666,1029779.3333333334,1029779.3333333334,1029780.3333333334
WS_mm-20-25-1891798,Memetic_MMX,20.0,25.0,6451.333333333333,853339.0,74426.0,74426.0,74426.33333333333
WS_mm-20-25-1917698,Memetic_MPX,20.0,25.0,5611.0,1024004.3333333334,113871.66666666667,113871.66666666667,113872.66666666667
WS_mm-25-10-1917698,Memetic_MPX,25.0,10.0,4349.333333333333,1024003.6666666666,174580.33333333334,174580.33333333334,174581.33333333334
WS_mm-5-25-1917698,Memetic_MPX,5.0,25.0,5170.333333333333,1024005.3333333334,178363.33333333334,178363.33333333334,178364.33333333334
WS_mm-15-10-1917698,Memetic-LS_MMX,15.0,10.0,3800.0,1024001.0,2685419.0,2685419.0,2685420.0
WS_mm-20-25-1762875,Memetic_MPX,20.0,25.0,5668.333333333333,1024006.0,100585.33333333333,100585.33333333333,100586.33333333333
WS_mm-25-25-1891798,Memetic-LS_MMX,25.0,25.0,5377.0,1024002.3333333334,1003318.3333333334,1003318.3333333334,1003319.3333333334
WS_mm-5-40-1767920,Memetic_MPX,5.0,40.0,7473.333333333333,1024012.0,72118.66666666667,72118.66666666667,72119.66666666667
WS_mm-10-40-1762875,Memetic_MPX,10.0,40.0,7371.666666666667,1024004.3333333334,80639.0,80639.0,80640.0
WS_mm-10-25-1891798,Memetic-LS_MMX,10.0,25.0,5585.333333333333,1024001.0,1176590.6666666667,1176590.6666666667,1176591.6666666667
