instance,settings,m,n,value,time,nIter,best_iter,improv_count
WS_mm-10-40-1917698,Memetic_MMX_1099666,10,40,7740.0,1024009.0,52262,52262,52263
WS_mm-10-10-1762875,Memetic-LS_MMX_1881515,10,10,2831.0,1024001.0,4706503,4706503,4706504
WS_mm-10-10-1917698,Memetic_MMX_1881515,10,10,3583.0,1024003.0,351210,351210,351211
WS_mm-10-25-1917698,Memetic-LS_MMX_1099666,10,25,4607.0,1024001.0,1454757,1454757,1454758
WS_mm-5-40-1917698,Memetic-LS_MMX_1881515,5,40,6652.0,1024001.0,746692,746692,746693
WS_mm-25-10-1917698,Memetic-LS_MPX_1099666,25,10,2427.0,1024001.0,2134780,2134780,2134781
WS_mm-15-40-1767920,Memetic_MPX_1099666,15,40,7408.0,1024001.0,57287,57287,57288
WS_mm-5-10-1891798,Memetic-LS_MMX_1881515,5,10,3171.0,1024001.0,4889303,4889303,4889304
WS_mm-25-25-1762875,Memetic-LS_MPX_1287823,25,25,2208.0,1024004.0,1210560,1210560,1210561
WS_mm-10-25-1110588,Memetic-LS_MMX_1287823,10,25,5479.0,1024001.0,1095194,1095194,1095195
WS_mm-25-25-1110588,Memetic_MPX_1287823,25,25,5925.0,1024003.0,94944,94944,94945
WS_mm-20-25-1917698,Memetic_MMX_1287823,20,25,6560.0,1024010.0,69561,69561,69562
WS_mm-20-10-1110588,Memetic-LS_MMX_1287823,20,10,3569.0,1024001.0,2592244,2592244,2592245
WS_mm-5-25-1762875,Memetic-LS_MMX_1099666,5,25,5459.0,1024001.0,1379221,1379221,1379222
WS_mm-5-40-1891798,Memetic-LS_MMX_1287823,5,40,6724.0,1024003.0,760880,760880,760881
WS_mm-10-25-1767920,Memetic-LS_MMX_1287823,10,25,5787.0,1024001.0,970572,970572,970573
WS_mm-10-25-1891798,Memetic-LS_MPX_1099666,10,25,5067.0,1024001.0,1007701,1007701,1007702
WS_mm-20-25-1891798,Memetic_MMX_1881515,20,25,6387.0,1024004.0,88930,88930,88931
WS_mm-20-25-1917698,Memetic_MPX_1099666,20,25,5746.0,1024004.0,111693,111693,111694
WS_mm-25-10-1917698,Memetic_MPX_1881515,25,10,4405.0,1024007.0,173305,173305,173306
WS_mm-5-25-1917698,Memetic_MPX_1287823,5,25,5136.0,1024009.0,172700,172700,172701
WS_mm-15-10-1917698,Memetic-LS_MMX_1099666,15,10,3776.0,1024001.0,2772802,2772802,2772803
WS_mm-20-25-1762875,Memetic_MPX_1287823,20,25,5708.0,1024007.0,97672,97672,97673
WS_mm-25-25-1891798,Memetic-LS_MMX_1287823,25,25,5165.0,1024001.0,1008343,1008343,1008344
WS_mm-10-25-1110588,Memetic-LS_MMX_1099666,10,25,5379.0,1024002.0,1285394,1285394,1285395
WS_mm-5-40-1891798,Memetic-LS_MMX_1099666,5,40,6757.0,1024006.0,745448,745448,745449
WS_mm-5-40-1767920,Memetic_MPX_1099666,5,40,7529.0,1024013.0,70228,70228,70229
WS_mm-10-40-1762875,Memetic_MPX_1287823,10,40,7328.0,1024007.0,79031,79031,79032
WS_mm-10-25-1891798,Memetic-LS_MMX_1099666,10,25,5222.0,1024001.0,1290331,1290331,1290332
WS_mm-25-25-1767920,Memetic-LS_MMX_1287823,25,25,5300.0,1024001.0,1099698,1099698,1099699
WS_mm-20-25-1767920,Memetic-LS_MMX_1881515,20,25,5336.0,1024001.0,1077222,1077222,1077223
WS_mm-5-40-1917698,Memetic-LS_MPX_1287823,5,40,6010.0,1024004.0,731019,731019,731020
WS_mm-25-10-1891798,Memetic-LS_MMX_1099666,25,10,4047.0,1024001.0,2123983,2123983,2123984
WS_mm-10-25-1767920,Memetic_MMX_1881515,10,25,6360.0,1024003.0,101872,101872,101873
WS_mm-20-10-1762875,Memetic_MPX_1287823,20,10,4019.0,1024002.0,241462,241462,241463
WS_mm-5-10-1767920,Memetic_MMX_1881515,5,10,3031.0,1024001.0,681105,681105,681106
WS_mm-25-10-1767920,Memetic_MMX_1881515,25,10,4479.0,1024001.0,142553,142553,142554
WS_mm-25-25-1762875,Memetic-LS_MMX_1881515,25,25,4873.0,1024002.0,1053481,1053481,1053482
WS_mm-20-25-1762875,Memetic_MMX_1287823,20,25,6405.0,128003.0,9193,9193,9192
WS_mm-15-40-1762875,Memetic-LS_MMX_1287823,15,40,5751.0,1024009.0,628344,628344,628345
WS_mm-15-40-1110588,Memetic_MMX_1287823,15,40,8514.0,1024003.0,60074,60074,60075
WS_mm-25-10-1917698,Memetic_MPX_1287823,25,10,4321.0,1024003.0,174970,174970,174971
WS_mm-5-40-1767920,Memetic_MMX_1287823,5,40,7681.0,1024017.0,64317,64317,64318
WS_mm-20-10-1891798,Memetic-LS_MMX_1881515,20,10,4031.0,1024001.0,2411461,2411461,2411462
WS_mm-10-40-1767920,Memetic-LS_MPX_1287823,10,40,5906.0,1024001.0,676386,676386,676387
WS_mm-10-40-1110588,Memetic-LS_MPX_1287823,10,40,6263.0,1024001.0,660636,660636,660637
WS_mm-25-25-1762875,Memetic_MMX_1881515,25,25,6467.0,1024004.0,81371,81371,81372
WS_mm-5-25-1891798,Memetic_MMX_1287823,5,25,5232.0,512003.0,99966,99966,99965
WS_mm-15-10-1891798,Memetic-LS_MMX_1287823,15,10,4331.0,1024001.0,2543365,2543365,2543366
WS_mm-10-40-1110588,Memetic_MPX_1099666,10,40,7139.0,1024001.0,69318,69318,69319
WS_mm-5-25-1891798,Memetic_MMX_1099666,5,25,5266.0,512005.0,91024,91024,91023
WS_mm-25-10-1762875,Memetic-LS_MPX_1881515,25,10,2237.0,1024001.0,2128032,2128032,2128033
WS_mm-5-25-1762875,Memetic_MPX_1287823,5,25,5659.0,1024001.0,138871,138871,138872
WS_mm-15-10-1767920,Memetic-LS_MPX_1881515,15,10,3539.0,1024001.0,2100039,2100039,2100040
WS_mm-10-10-1891798,Memetic-LS_MPX_1099666,10,10,3079.0,1024001.0,2109199,2109199,2109200
WS_mm-20-10-1891798,Memetic_MMX_1881515,20,10,4982.0,1024005.0,180046,180046,180047
WS_mm-15-40-1917698,Memetic_MPX_1881515,15,40,7627.0,1024014.0,70866,70866,70867
WS_mm-10-25-1767920,Memetic-LS_MPX_1099666,10,25,5304.0,1024001.0,962860,962860,962861
WS_mm-25-25-1762875,Memetic-LS_MMX_1287823,25,25,4718.0,1024001.0,1113128,1113128,1113129
WS_mm-15-10-1767920,Memetic-LS_MMX_1881515,15,10,3991.0,1024001.0,2078568,2078568,2078569
WS_mm-10-10-1891798,Memetic-LS_MPX_1881515,10,10,3116.0,1024001.0,2263385,2263385,2263386
WS_mm-25-25-1762875,Memetic-LS_MMX_1099666,25,25,4820.0,1024001.0,946748,946748,946749
