instance_prefix,settings_prefix,m,n,value,time,nIter,best_iter,improv_count,solved
mm-20-10,Memetic_MMX,20.0,10.0,4144.2,1004.0,196.46666666666667,196.46666666666667,197.46666666666667,15
mm-15-40,Memetic-LS_MMX,15.0,40.0,5288.733333333334,1003.0666666666667,707.1333333333333,707.1333333333333,708.1333333333333,15
mm-20-10,Memetic-LS_MMX,20.0,10.0,2813.6666666666665,1001.0666666666667,2562.0,2562.0,2563.0,15
mm-10-10,Memetic-LS_MMX,10.0,10.0,2793.0666666666666,1001.0,3494.6,3494.6,3495.6,15
mm-5-25,Memetic_MPX,5.0,25.0,5062.466666666666,1004.0666666666667,187.93333333333334,187.93333333333334,188.93333333333334,15
mm-15-10,Memetic-LS_MPX,15.0,10.0,2865.0,1001.1333333333333,2057.5333333333333,2057.5333333333333,2058.5333333333333,15
mm-25-25,Memetic_MPX,25.0,25.0,5072.066666666667,1006.1333333333333,100.73333333333333,100.73333333333333,101.73333333333333,15
mm-15-10,Memetic_MPX,15.0,10.0,3660.2,1003.2,269.06666666666666,269.06666666666666,270.06666666666666,15
mm-15-40,Memetic_MPX,15.0,40.0,6245.4,1010.0,67.0,67.0,68.0,15
mm-5-10,Memetic_MMX,5.0,10.0,2824.0666666666666,1001.5333333333333,631.8,631.8,632.8,15
mm-20-25,Memetic_MMX,20.0,25.0,5902.866666666667,1009.4,82.2,82.2,83.2,15
mm-10-25,Memetic-LS_MPX,10.0,25.0,4339.8,1002.0666666666667,989.7333333333333,989.7333333333333,990.7333333333333,15
mm-20-25,Memetic_MPX,20.0,25.0,5154.8,1007.6666666666666,105.6,105.6,106.6,15
mm-10-40,Memetic-LS_MMX,10.0,40.0,5106.333333333333,1002.0666666666667,738.3333333333334,738.3333333333334,739.3333333333334,15
mm-25-10,Memetic_MPX,25.0,10.0,3873.2,1004.0666666666667,190.46666666666667,190.46666666666667,191.46666666666667,15
mm-15-40,Memetic-LS_MPX,15.0,40.0,5213.2,1002.6,577.0,577.0,578.0,15
mm-5-10,Memetic-LS_MMX,5.0,10.0,2514.3333333333335,1001.0,5438.533333333334,5438.533333333334,5439.533333333334,15
mm-15-25,Memetic_MMX,15.0,25.0,5866.133333333333,1007.9333333333333,96.46666666666667,96.46666666666667,97.46666666666667,15
mm-25-25,Memetic-LS_MMX,25.0,25.0,3305.8,1001.4666666666667,1188.3333333333333,1188.3333333333333,1189.3333333333333,15
mm-10-25,Memetic_MMX,10.0,25.0,5485.466666666666,1006.4,128.73333333333332,128.73333333333332,129.73333333333332,15
mm-10-40,Memetic_MMX,10.0,40.0,6637.4,1010.2,68.6,68.6,69.6,15
mm-5-40,Memetic-LS_MMX,5.0,40.0,5543.133333333333,1002.4666666666667,664.6,664.6,665.6,15
mm-5-40,Memetic-LS_MPX,5.0,40.0,5532.933333333333,1002.6,579.7333333333333,579.7333333333333,580.7333333333333,15
mm-5-25,Memetic_MMX,5.0,25.0,5104.466666666666,1004.8,191.26666666666668,191.26666666666668,192.26666666666668,15
mm-15-25,Memetic-LS_MMX,15.0,25.0,4343.333333333333,1001.2666666666667,1246.0666666666666,1246.0666666666666,1247.0666666666666,15
mm-10-10,Memetic_MMX,10.0,10.0,3365.733333333333,1002.2,354.4,354.4,355.4,15
mm-20-25,Memetic-LS_MMX,20.0,25.0,3766.866666666667,1002.1333333333333,1251.2666666666667,1251.2666666666667,1252.2666666666667,15
mm-10-25,Memetic-LS_MMX,10.0,25.0,4378.8,1001.6666666666666,1371.9333333333334,1371.9333333333334,1372.9333333333334,15
mm-5-25,Memetic-LS_MMX,5.0,25.0,4118.533333333334,1001.2666666666667,1503.2,1503.2,1504.2,15
mm-10-10,Memetic-LS_MPX,10.0,10.0,2736.733333333333,1001.0,2210.4,2210.4,2211.4,15
mm-20-10,Memetic-LS_MPX,20.0,10.0,2563.133333333333,1001.1333333333333,2043.5333333333333,2043.5333333333333,2044.5333333333333,15
mm-10-40,Memetic-LS_MPX,10.0,40.0,4998.8,1001.4666666666667,598.2,598.2,599.2,15
mm-25-10,Memetic-LS_MMX,25.0,10.0,2973.266666666667,1001.2,2058.266666666667,2058.266666666667,2059.266666666667,15
mm-15-40,Memetic_MMX,15.0,40.0,6921.4,1010.7333333333333,49.86666666666667,49.86666666666667,50.86666666666667,15
mm-25-10,Memetic-LS_MPX,25.0,10.0,2784.0666666666666,1001.1333333333333,1896.8,1896.8,1897.8,15
