instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
mm-20-10-1110588,Memetic_MMX,20.0,10.0,3861.0,1003.0,245.33333333333334,245.33333333333334,246.33333333333334
mm-15-40-1917698,Memetic-LS_MMX,15.0,40.0,5466.0,1001.3333333333334,685.0,685.0,686.0
mm-20-10-1767920,Memetic-LS_MMX,20.0,10.0,3145.0,1001.0,2424.0,2424.0,2425.0
mm-10-10-1891798,Memetic-LS_MMX,10.0,10.0,2773.6666666666665,1001.0,3144.6666666666665,3144.6666666666665,3145.6666666666665
mm-5-25-1891798,Memetic_MPX,5.0,25.0,4808.666666666667,1002.0,198.66666666666666,198.66666666666666,199.66666666666666
mm-15-10-1767920,Memetic-LS_MPX,15.0,10.0,3129.0,1001.3333333333334,2290.3333333333335,2290.3333333333335,2291.3333333333335
mm-25-25-1767920,Memetic_MPX,25.0,25.0,5350.666666666667,1009.0,89.66666666666667,89.66666666666667,90.66666666666667
mm-15-10-1767920,Memetic_MPX,15.0,10.0,3982.0,1002.3333333333334,243.66666666666666,243.66666666666666,244.66666666666666
mm-15-40-1767920,Memetic_MPX,15.0,40.0,6468.333333333333,1027.0,51.333333333333336,51.333333333333336,52.333333333333336
mm-20-10-1917698,Memetic_MMX,20.0,10.0,3924.0,1002.3333333333334,207.0,207.0,208.0
mm-5-10-1891798,Memetic_MMX,5.0,10.0,3109.3333333333335,1001.3333333333334,562.6666666666666,562.6666666666666,563.6666666666666
mm-20-25-1110588,Memetic_MMX,20.0,25.0,5752.0,1005.6666666666666,95.0,95.0,96.0
mm-10-25-1917698,Memetic-LS_MPX,10.0,25.0,3821.0,1001.0,1156.3333333333333,1156.3333333333333,1157.3333333333333
mm-10-25-1891798,Memetic-LS_MPX,10.0,25.0,5250.0,1001.3333333333334,1034.3333333333333,1034.3333333333333,1035.3333333333333
mm-20-25-1110588,Memetic_MPX,20.0,25.0,5051.666666666667,1006.3333333333334,114.33333333333333,114.33333333333333,115.33333333333333
mm-10-25-1767920,Memetic-LS_MPX,10.0,25.0,4545.0,1003.0,933.0,933.0,934.0
mm-10-40-1110588,Memetic-LS_MMX,10.0,40.0,5146.0,1001.0,629.0,629.0,630.0
mm-25-10-1767920,Memetic_MPX,25.0,10.0,3624.6666666666665,1006.3333333333334,195.33333333333334,195.33333333333334,196.33333333333334
mm-15-40-1762875,Memetic-LS_MPX,15.0,40.0,5171.0,1004.0,613.0,613.0,614.0
mm-5-10-1917698,Memetic-LS_MMX,5.0,10.0,2751.6666666666665,1001.0,4332.0,4332.0,4333.0
mm-15-25-1767920,Memetic_MMX,15.0,25.0,5493.666666666667,1007.3333333333334,94.0,94.0,95.0
mm-25-25-1917698,Memetic-LS_MMX,25.0,25.0,2676.6666666666665,1001.0,1264.6666666666667,1264.6666666666667,1265.6666666666667
mm-25-25-1891798,Memetic_MPX,25.0,25.0,4991.333333333333,1004.0,98.33333333333333,98.33333333333333,99.33333333333333
mm-10-25-1767920,Memetic_MMX,10.0,25.0,5613.0,1008.6666666666666,101.66666666666667,101.66666666666667,102.66666666666667
mm-10-40-1767920,Memetic_MMX,10.0,40.0,6770.333333333333,1011.6666666666666,86.66666666666667,86.66666666666667,87.66666666666667
mm-5-40-1110588,Memetic-LS_MMX,5.0,40.0,5453.0,1002.0,602.0,602.0,603.0
mm-5-40-1891798,Memetic-LS_MPX,5.0,40.0,5818.0,1004.6666666666666,640.0,640.0,641.0
mm-5-25-1762875,Memetic_MMX,5.0,25.0,5255.333333333333,1004.3333333333334,167.33333333333334,167.33333333333334,168.33333333333334
mm-10-25-1891798,Memetic_MMX,10.0,25.0,5886.666666666667,1003.6666666666666,118.33333333333333,118.33333333333333,119.33333333333333
mm-15-25-1891798,Memetic-LS_MMX,15.0,25.0,4355.0,1001.0,1296.3333333333333,1296.3333333333333,1297.3333333333333
mm-20-25-1891798,Memetic_MMX,20.0,25.0,5897.666666666667,1008.0,88.33333333333333,88.33333333333333,89.33333333333333
mm-10-10-1767920,Memetic_MMX,10.0,10.0,3798.3333333333335,1003.0,298.6666666666667,298.6666666666667,299.6666666666667
mm-20-25-1891798,Memetic-LS_MMX,20.0,25.0,3801.6666666666665,1001.3333333333334,1271.3333333333333,1271.3333333333333,1272.3333333333333
mm-10-25-1762875,Memetic-LS_MMX,10.0,25.0,4091.3333333333335,1001.3333333333334,1422.3333333333333,1422.3333333333333,1423.3333333333333
mm-5-25-1110588,Memetic-LS_MMX,5.0,25.0,4061.6666666666665,1001.3333333333334,1669.3333333333333,1669.3333333333333,1670.3333333333333
mm-10-10-1917698,Memetic-LS_MPX,10.0,10.0,2691.0,1001.0,2649.6666666666665,2649.6666666666665,2650.6666666666665
mm-20-10-1110588,Memetic-LS_MPX,20.0,10.0,2496.0,1001.0,2084.0,2084.0,2085.0
mm-5-40-1762875,Memetic-LS_MMX,5.0,40.0,5086.0,1002.0,845.3333333333334,845.3333333333334,846.3333333333334
mm-10-40-1110588,Memetic-LS_MPX,10.0,40.0,4920.0,1002.3333333333334,548.0,548.0,549.0
mm-10-40-1891798,Memetic-LS_MPX,10.0,40.0,5359.0,1001.3333333333334,558.3333333333334,558.3333333333334,559.3333333333334
mm-25-10-1891798,Memetic-LS_MMX,25.0,10.0,2908.3333333333335,1001.0,2220.6666666666665,2220.6666666666665,2221.6666666666665
mm-15-40-1767920,Memetic_MMX,15.0,40.0,7052.0,1008.6666666666666,40.0,40.0,41.0
mm-5-25-1917698,Memetic_MPX,5.0,25.0,4800.333333333333,1002.3333333333334,202.66666666666666,202.66666666666666,203.66666666666666
mm-25-10-1110588,Memetic-LS_MPX,25.0,10.0,3116.0,1001.0,2046.3333333333333,2046.3333333333333,2047.3333333333333
mm-20-25-1762875,Memetic-LS_MPX,20.0,25.0,2119.0,1002.6666666666666,1298.3333333333333,1298.3333333333333,1299.3333333333333
mm-25-10-1762875,Memetic_MMX,25.0,10.0,4729.0,1004.6666666666666,152.0,152.0,153.0
mm-10-40-1762875,Memetic-LS_MPX,10.0,40.0,4298.0,1003.6666666666666,796.0,796.0,797.0
mm-20-25-1767920,Memetic_MMX,20.0,25.0,6367.333333333333,1010.6666666666666,71.66666666666667,71.66666666666667,72.66666666666667
mm-15-40-1891798,Memetic-LS_MPX,15.0,40.0,4560.0,1001.6666666666666,673.0,673.0,674.0
mm-20-25-1110588,Memetic-LS_MMX,20.0,25.0,4153.333333333333,1001.0,1218.3333333333333,1218.3333333333333,1219.3333333333333
