instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
mm-20-10-1110588,Memetic_MMX,20.0,10.0,3861.0,1002.6666666666666,243.66666666666666,243.66666666666666,244.66666666666666
mm-15-40-1917698,Memetic-LS_MMX,15.0,40.0,5466.0,1001.6666666666666,683.0,683.0,684.0
mm-20-10-1767920,Memetic-LS_MMX,20.0,10.0,3114.6666666666665,1001.0,2365.6666666666665,2365.6666666666665,2366.6666666666665
mm-10-10-1891798,Memetic-LS_MMX,10.0,10.0,2773.6666666666665,1001.0,3108.0,3108.0,3109.0
mm-5-25-1891798,Memetic_MPX,5.0,25.0,4808.666666666667,1006.6666666666666,204.0,204.0,205.0
mm-15-10-1767920,Memetic-LS_MPX,15.0,10.0,3129.0,1001.0,2215.0,2215.0,2216.0
mm-25-25-1767920,Memetic_MPX,25.0,25.0,5350.666666666667,1006.0,90.0,90.0,91.0
mm-15-10-1767920,Memetic_MPX,15.0,10.0,3982.0,1004.0,231.66666666666666,231.66666666666666,232.66666666666666
mm-15-40-1767920,Memetic_MPX,15.0,40.0,6468.333333333333,1011.3333333333334,51.0,51.0,52.0
mm-20-10-1917698,Memetic_MMX,20.0,10.0,3924.0,1005.3333333333334,206.0,206.0,207.0
mm-5-10-1891798,Memetic_MMX,5.0,10.0,3109.3333333333335,1001.3333333333334,538.0,538.0,539.0
mm-20-25-1110588,Memetic_MMX,20.0,25.0,5748.333333333333,1012.6666666666666,91.33333333333333,91.33333333333333,92.33333333333333
mm-10-25-1917698,Memetic-LS_MPX,10.0,25.0,3821.0,1002.3333333333334,1122.0,1122.0,1123.0
mm-10-25-1891798,Memetic-LS_MPX,10.0,25.0,5250.0,1002.6666666666666,1005.3333333333334,1005.3333333333334,1006.3333333333334
mm-20-25-1110588,Memetic_MPX,20.0,25.0,5051.666666666667,1008.0,108.66666666666667,108.66666666666667,109.66666666666667
mm-10-25-1767920,Memetic-LS_MPX,10.0,25.0,4545.0,1002.3333333333334,921.3333333333334,921.3333333333334,922.3333333333334
mm-10-40-1110588,Memetic-LS_MMX,10.0,40.0,5146.0,1001.3333333333334,624.6666666666666,624.6666666666666,625.6666666666666
mm-25-10-1767920,Memetic_MPX,25.0,10.0,3588.3333333333335,1004.6666666666666,179.33333333333334,179.33333333333334,180.33333333333334
mm-15-40-1762875,Memetic-LS_MPX,15.0,40.0,5171.0,1004.6666666666666,609.0,609.0,610.0
mm-5-10-1917698,Memetic-LS_MMX,5.0,10.0,2751.6666666666665,1001.0,4129.0,4129.0,4130.0
mm-15-25-1767920,Memetic_MMX,15.0,25.0,5493.666666666667,1005.6666666666666,94.0,94.0,95.0
mm-25-25-1917698,Memetic-LS_MMX,25.0,25.0,2676.6666666666665,1001.0,1226.0,1226.0,1227.0
mm-25-25-1891798,Memetic_MPX,25.0,25.0,4991.333333333333,1005.6666666666666,97.33333333333333,97.33333333333333,98.33333333333333
mm-10-25-1767920,Memetic_MMX,10.0,25.0,5613.0,1005.0,100.0,100.0,101.0
