instancia, m, n, t, d, E_profit, V_profit, E_proftible_cost, FKP
mm-10-40-1891798.cdop, 10, 40, 445, 890, 48942, 2229, 37629.520000000004, 3888.3878787878793
mm-5-40-1891798.cdop, 5, 40, 445, 890, 39938, 2291, 29900.500000000015, 4002.0250783699053
mm-15-25-1767920.cdop, 15, 25, 450, 900, 32282, 1203, 24067.980000000014, 3306.307234886025
mm-5-25-1110588.cdop, 5, 25, 425, 850, 19782, 1088, 12611.819999999994, 3053.3076533198173
mm-15-10-1762875.cdop, 15, 10, 435, 870, 12946, 444, 9163.920000000002, 2348.731871838111
mm-10-40-1767920.cdop, 10, 40, 450, 900, 48792, 2058, 36437.10000000006, 4053.362974939369
mm-25-10-1767920.cdop, 25, 10, 435, 870, 24856, 600, 16686.92000000001, 2599.443658651579
mm-25-10-1917698.cdop, 25, 10, 450, 900, 26810, 373, 18935.680000000015, 3106.01661129568
mm-15-10-1767920.cdop, 15, 10, 430, 860, 12772, 474, 8094.659999999994, 2951.27802846234
mm-20-25-1110588.cdop, 20, 25, 425, 850, 44834, 1340, 30427.159999999985, 3480.106666666667
mm-15-40-1917698.cdop, 15, 40, 450, 900, 64250, 2045, 41505.55999999995, 4928.77227722772
mm-15-10-1917698.cdop, 15, 10, 450, 900, 13762, 458, 10671.620000000004, 2434.859259259259
mm-25-10-1762875.cdop, 25, 10, 440, 880, 25262, 530, 18962.660000000003, 3143.7476190476186
mm-5-10-1917698.cdop, 5, 10, 410, 820, 5096, 635, 3706.8199999999997, 1702.684912280702
mm-25-10-1891798.cdop, 25, 10, 440, 880, 25616, 616, 19201.02000000002, 3199.4352941176467
mm-5-40-1767920.cdop, 5, 40, 450, 900, 40958, 2048, 30492.84000000002, 4018.6344663088853
mm-15-25-1762875.cdop, 15, 25, 440, 880, 32450, 1286, 22623.54000000002, 3887.8152046783625
mm-5-25-1917698.cdop, 5, 25, 415, 830, 19162, 1121, 13459.400000000012, 2849.4123006833715
mm-15-10-1110588.cdop, 15, 10, 425, 850, 13348, 534, 9920.6, 2529.5921501706484
mm-5-25-1891798.cdop, 5, 25, 435, 870, 19482, 1593, 15674.940000000022, 2533.8316722037653
mm-5-10-1110588.cdop, 5, 10, 415, 830, 3604, 369, 2868.4799999999987, 1487.658536585366
mm-25-25-1762875.cdop, 25, 25, 440, 880, 50374, 1348, 36428.399999999965, 3403.173333333333
mm-5-40-1917698.cdop, 5, 40, 435, 870, 43870, 1828, 27083.160000000018, 4002.2344381568305
mm-20-10-1891798.cdop, 20, 10, 440, 880, 19646, 652, 14944.680000000031, 2778.027369488089
mm-20-25-1917698.cdop, 20, 25, 445, 890, 44140, 1013, 29661.099999999984, 3622.118688183238
mm-20-25-1762875.cdop, 20, 25, 435, 870, 40858, 1232, 30445.720000000005, 3624.017543859649
mm-10-40-1762875.cdop, 10, 40, 440, 880, 51074, 1988, 37984.599999999984, 4021.988077496274
mm-20-10-1917698.cdop, 20, 10, 445, 890, 18806, 312, 13695.699999999999, 2391.065259117083
mm-20-10-1767920.cdop, 20, 10, 415, 830, 18550, 487, 12232.34000000001, 2789.6198798470778
mm-20-25-1767920.cdop, 20, 25, 450, 900, 41206, 1239, 29343.020000000022, 4218.653465346534
mm-10-25-1917698.cdop, 10, 25, 440, 880, 26470, 1055, 18497.740000000013, 2893.5814722911505
mm-10-10-1917698.cdop, 10, 10, 440, 880, 9766, 439, 6988.180000000005, 2107.9928622412563
mm-10-10-1110588.cdop, 10, 10, 415, 830, 7588, 322, 5310.16, 2091.677575757576
