instancia, m, n, t, d, E_profit, V_profit, E_proftible_cost, FKP
20-25-1767920.cdop, 20, 25, 900, 1800, 6606, 1337, 12847.440000000004, 1605.0098684210527
20-10-1110588.cdop, 20, 10, 955, 1910, 4768, 493, 9567.719999999996, 1652.6521523998022
15-25-1891798.cdop, 15, 25, 925, 1850, 6074, 1172, 12509.799999999997, 1620.68813559322
10-10-1891798.cdop, 10, 10, 915, 1830, 3820, 638, 6581.3200000000015, 1661.500865167044
15-10-1767920.cdop, 15, 10, 930, 1860, 3086, 508, 6709.040000000001, 1601.063472113118
25-10-1110588.cdop, 25, 10, 955, 1910, 5370, 497, 11120.519999999999, 1746.6590689321727
5-25-1762875.cdop, 5, 25, 935, 1870, 4948, 1110, 9686.680000000002, 1722.3085119878215
15-25-1110588.cdop, 15, 25, 985, 1970, 6270, 1464, 11214.880000000008, 1766.2186459489458
10-10-1767920.cdop, 10, 10, 835, 1670, 3252, 514, 6330.06, 1415.569250729809
15-25-1762875.cdop, 15, 25, 965, 1930, 6310, 1300, 12467.140000000003, 1785.532172596518
25-25-1110588.cdop, 25, 25, 940, 1880, 7416, 1219, 14414.900000000014, 1828.7917404129798
20-25-1110588.cdop, 20, 25, 960, 1920, 5962, 893, 13438.820000000005, 1647.6222512777845
20-10-1767920.cdop, 20, 10, 960, 1920, 4838, 585, 10062.38, 1638.7210742534796
5-40-1762875.cdop, 5, 40, 970, 1940, 6456, 2237, 13817.800000000007, 1824.131402679275
5-25-1767920.cdop, 5, 25, 980, 1960, 4554, 1130, 8852.720000000001, 1784.2904238618523
15-25-1767920.cdop, 15, 25, 975, 1950, 6406, 1331, 12140.699999999993, 1743.5421910460082
5-10-1767920.cdop, 5, 10, 865, 1730, 2008, 531, 3954.16, 1284.3940520446097
25-10-1917698.cdop, 25, 10, 965, 1930, 5082, 427, 11680.119999999997, 1734.0886472235954
10-40-1767920.cdop, 10, 40, 965, 1930, 6454, 2178, 13697.019999999995, 1828.6953066265705
5-40-1917698.cdop, 5, 40, 970, 1940, 7344, 2221, 16232.900000000007, 1788.6072555205042
25-10-1767920.cdop, 25, 10, 970, 1940, 7064, 528, 13122.380000000006, 1809.2967863894135
25-25-1762875.cdop, 25, 25, 945, 1890, 8440, 1327, 15571.840000000004, 1749.096153846154
10-40-1110588.cdop, 10, 40, 990, 1980, 8296, 1934, 15896.820000000005, 1798.2574977279612
5-25-1917698.cdop, 5, 25, 915, 1830, 3656, 1469, 7784.1399999999985, 1585.6242794167513
5-40-1767920.cdop, 5, 40, 965, 1930, 7134, 1829, 13951.540000000005, 1742.5388905790487
25-25-1767920.cdop, 25, 25, 985, 1970, 5562, 1239, 10982.239999999994, 1699.0864995957966
10-25-1917698.cdop, 10, 25, 905, 1810, 5168, 1295, 10403.480000000009, 1678.891891891892
5-40-1891798.cdop, 5, 40, 950, 1900, 7974, 2059, 14707.760000000013, 1755.3731799533425
10-25-1110588.cdop, 10, 25, 930, 1860, 6000, 1396, 12243.500000000002, 1714.2982256226596
10-10-1917698.cdop, 10, 10, 865, 1730, 2874, 639, 6240.000000000001, 1459.8462178753507
20-25-1762875.cdop, 20, 25, 975, 1950, 7124, 1110, 13846.360000000004, 1760.2962962962965
15-40-1891798.cdop, 15, 40, 970, 1940, 8410, 1861, 17879.45999999999, 1846.785109079992
20-10-1917698.cdop, 20, 10, 950, 1900, 3678, 381, 7173.179999999999, 1630.9166747314428
10-25-1767920.cdop, 10, 25, 980, 1960, 4906, 1099, 11147.779999999997, 1643.3567306559883
10-40-1891798.cdop, 10, 40, 985, 1970, 8310, 2072, 16097.200000000013, 1856.3943661971832
15-40-1762875.cdop, 15, 40, 950, 1900, 7652, 2035, 17058.24000000001, 1759.970160973695
5-40-1110588.cdop, 5, 40, 915, 1830, 6014, 2162, 12610.440000000006, 1665.4237883641626
20-10-1762875.cdop, 20, 10, 905, 1810, 3866, 513, 7495.199999999999, 1648.790101371497
15-40-1110588.cdop, 15, 40, 990, 1980, 8426, 2029, 16188.139999999996, 1785.1177132957991
15-10-1110588.cdop, 15, 10, 900, 1800, 4240, 558, 8015.800000000005, 1563.151699728373
5-25-1891798.cdop, 5, 25, 965, 1930, 3928, 1399, 8943.760000000002, 1699.498177519456
15-25-1917698.cdop, 15, 25, 915, 1830, 5484, 1287, 12101.399999999996, 1630.956932010646
25-25-1917698.cdop, 25, 25, 985, 1970, 7928, 1203, 14908.419999999993, 1873.4870588235294
10-40-1917698.cdop, 10, 40, 950, 1900, 7854, 2194, 15004.680000000008, 1792.3830413454796
20-25-1917698.cdop, 20, 25, 930, 1860, 8130, 1212, 15717.900000000005, 1767.7429179263238
10-10-1110588.cdop, 10, 10, 860, 1720, 2542, 475, 4987.540000000001, 1460.0155983426762
10-40-1762875.cdop, 10, 40, 970, 1940, 8896, 2137, 17240.540000000008, 1823.3979797979798
15-10-1917698.cdop, 15, 10, 960, 1920, 4442, 220, 8224.220000000005, 1713.863105175292
15-10-1762875.cdop, 15, 10, 945, 1890, 3746, 457, 7744.960000000002, 1651.4767085076712
15-40-1767920.cdop, 15, 40, 970, 1940, 8436, 1732, 16468.880000000005, 1817.890799656062
25-10-1762875.cdop, 25, 10, 970, 1940, 6180, 460, 12557.0, 1767.0981281905847
25-10-1891798.cdop, 25, 10, 945, 1890, 4876, 276, 10288.239999999993, 1744.1551664950223
10-10-1762875.cdop, 10, 10, 990, 1980, 3150, 566, 6851.199999999996, 1617.6086767895881
15-40-1917698.cdop, 15, 40, 975, 1950, 9502, 1813, 18747.86, 1846.1859920356055
5-25-1110588.cdop, 5, 25, 880, 1760, 5100, 1183, 9936.960000000006, 1570.7842615191184
15-10-1891798.cdop, 15, 10, 980, 1960, 3558, 549, 8440.159999999996, 1553.8473426633466
5-10-1917698.cdop, 5, 10, 840, 1680, 2032, 527, 3344.4399999999996, 1364.878762147372
5-10-1891798.cdop, 5, 10, 950, 1900, 2068, 568, 4741.260000000001, 1447.7811187265088
20-25-1891798.cdop, 20, 25, 980, 1960, 7826, 1274, 14252.040000000003, 1840.0548309821672
25-25-1891798.cdop, 25, 25, 990, 1980, 9008, 1357, 17016.619999999995, 1854.9951962294933
10-25-1891798.cdop, 10, 25, 975, 1950, 5348, 1210, 10482.519999999997, 1751.9989595255438
5-10-1762875.cdop, 5, 10, 895, 1790, 2198, 529, 4252.759999999999, 1457.2492000511968
