instance,m,n,WS_Memetic_MMX,WS_Memetic-LS_MMX,WS_Memetic-LS_MPX,WS_Memetic_MPX,Memetic_MMX,Memetic-LS_MMX,Memetic-LS_MPX,Memetic_MPX
WS_mm-10-40-1917698,10.0,40.0,7820.666666666667,6356.333333333333,5221.0,6895.333333333333,7758.0,6298.333333333333,5274.333333333333,7161.666666666667
WS_mm-10-10-1762875,10.0,10.0,2934.3333333333335,2628.0,2513.6666666666665,2869.0,2929.0,2805.0,2630.3333333333335,2867.0
WS_mm-10-10-1917698,10.0,10.0,3599.0,3448.6666666666665,2741.0,3410.6666666666665,3583.3333333333335,3371.0,3079.3333333333335,3454.3333333333335
WS_mm-10-25-1917698,10.0,25.0,5496.666666666667,4921.333333333333,3821.0,4972.333333333333,5466.666666666667,4710.0,4198.666666666667,5137.0
WS_mm-5-40-1917698,5.0,40.0,7466.333333333333,6561.666666666667,5637.0,7289.333333333333,7617.333333333333,6553.333333333333,6308.333333333333,7426.666666666667
WS_mm-25-10-1917698,25.0,10.0,5007.0,4315.666666666667,2873.0,4384.666666666667,4919.0,4064.6666666666665,2257.6666666666665,4349.333333333333
WS_mm-15-40-1767920,15.0,40.0,8233.666666666666,6337.666666666667,5435.666666666667,7613.333333333333,8266.666666666666,6036.333333333333,4438.333333333333,7380.0
WS_mm-5-10-1891798,5.0,10.0,3196.3333333333335,3114.3333333333335,3068.0,3198.0,3198.0,3103.6666666666665,3034.3333333333335,3196.6666666666665
WS_mm-25-25-1762875,25.0,25.0,6355.333333333333,5227.0,3247.0,5318.0,6377.666666666667,4803.666666666667,2129.6666666666665,5308.333333333333
WS_mm-10-25-1110588,10.0,25.0,6004.666666666667,5211.666666666667,4615.0,5501.0,6005.0,5388.333333333333,4684.333333333333,5660.0
WS_mm-25-25-1110588,25.0,25.0,7183.666666666667,5696.333333333333,2751.3333333333335,6022.0,7283.666666666667,5507.0,2338.6666666666665,6049.333333333333
WS_mm-20-25-1917698,20.0,25.0,6415.333333333333,5502.333333333333,4092.0,5534.333333333333,6481.0,5359.0,2707.6666666666665,5611.0
WS_mm-20-10-1110588,20.0,10.0,4226.333333333333,3663.0,2601.0,3793.3333333333335,4264.0,3468.0,2216.6666666666665,3862.0
WS_mm-5-25-1762875,5.0,25.0,5720.0,5340.666666666667,4798.333333333333,5566.333333333333,5783.333333333333,5264.666666666667,4979.0,5655.333333333333
WS_mm-5-40-1891798,5.0,40.0,7863.333333333333,6316.666666666667,6369.0,7840.666666666667,8001.666666666667,6665.0,6543.333333333333,7897.0
WS_mm-10-25-1767920,10.0,25.0,6364.0,5524.666666666667,4545.0,6232.0,6331.666666666667,5410.666666666667,5284.666666666667,6049.0
WS_mm-10-25-1891798,10.0,25.0,6415.333333333333,5533.0,5250.0,6167.666666666667,6417.666666666667,5585.333333333333,5109.666666666667,6299.666666666667
WS_mm-20-25-1891798,20.0,25.0,6517.0,5401.666666666667,3621.3333333333335,5678.666666666667,6451.333333333333,5320.666666666667,2930.0,5631.666666666667
WS_mm-5-25-1917698,5.0,25.0,5216.0,4825.333333333333,4660.0,5204.333333333333,5212.333333333333,4919.333333333333,4692.333333333333,5170.333333333333
WS_mm-15-10-1917698,15.0,10.0,4102.333333333333,3777.6666666666665,3174.0,3829.0,4107.0,3800.0,3132.3333333333335,3808.3333333333335
WS_mm-20-25-1762875,20.0,25.0,6472.666666666667,5135.333333333333,2581.6666666666665,5646.0,6409.0,5057.666666666667,2581.3333333333335,5668.333333333333
WS_mm-25-25-1891798,25.0,25.0,6703.666666666667,5293.333333333333,2353.0,5704.333333333333,6749.666666666667,5377.0,2057.6666666666665,5719.333333333333
WS_mm-5-40-1767920,5.0,40.0,7546.0,6316.0,5635.0,7497.0,7595.666666666667,6460.333333333333,6172.0,7473.333333333333
WS_mm-10-40-1762875,10.0,40.0,7718.666666666667,6044.0,4846.666666666667,7399.333333333333,7757.666666666667,5991.666666666667,5490.0,7371.666666666667
WS_mm-25-25-1767920,25.0,25.0,7069.333333333333,5576.666666666667,4549.0,5951.333333333333,7161.0,5393.333333333333,2365.0,5982.0
WS_mm-20-25-1767920,20.0,25.0,7277.0,5713.0,4107.0,6400.666666666667,7247.0,5661.666666666667,3047.0,6317.666666666667
WS_mm-25-10-1891798,25.0,10.0,5314.333333333333,4584.0,2708.0,4579.666666666667,5318.333333333333,4319.0,2410.0,4632.333333333333
WS_mm-20-10-1762875,20.0,10.0,4466.666666666667,3881.6666666666665,2353.3333333333335,4057.3333333333335,4475.666666666667,3834.6666666666665,2316.0,4027.3333333333335
WS_mm-5-10-1767920,5.0,10.0,3031.0,2967.0,2877.0,3025.6666666666665,3028.3333333333335,2872.0,2918.0,3028.3333333333335
WS_mm-25-10-1767920,25.0,10.0,4447.0,3921.0,2485.6666666666665,3857.3333333333335,4465.666666666667,3824.0,2082.0,3930.6666666666665
WS_mm-15-40-1762875,15.0,40.0,7431.0,5957.0,5187.0,6715.666666666667,7417.666666666667,5702.333333333333,4087.0,6681.333333333333
WS_mm-15-40-1110588,15.0,40.0,8423.333333333334,6842.0,5737.0,7408.0,8361.0,6401.333333333333,3570.0,7348.0
WS_mm-20-10-1891798,20.0,10.0,4969.666666666667,4297.666666666667,3287.0,4494.666666666667,4986.0,4129.0,2292.6666666666665,4488.333333333333
WS_mm-10-40-1767920,10.0,40.0,7664.0,6120.333333333333,5303.333333333333,7212.0,7638.666666666667,5955.666666666667,5635.333333333333,7217.0
WS_mm-10-40-1110588,10.0,40.0,7587.0,6368.0,5448.666666666667,7021.0,7554.333333333333,6107.333333333333,5748.666666666667,7096.333333333333
WS_mm-5-25-1891798,5.0,25.0,5271.333333333333,4608.0,4697.666666666667,5184.666666666667,5245.333333333333,4771.333333333333,4629.666666666667,5248.666666666667
WS_mm-15-10-1891798,15.0,10.0,4552.0,4120.666666666667,3462.3333333333335,4159.333333333333,4539.333333333333,4312.666666666667,3242.6666666666665,4123.666666666667
WS_mm-25-10-1762875,25.0,10.0,5207.666666666667,4273.666666666667,2954.0,4407.333333333333,5130.333333333333,4113.0,2184.3333333333335,4491.0
WS_mm-15-10-1767920,15.0,10.0,4596.333333333333,4166.333333333333,3212.3333333333335,4314.333333333333,4584.0,4210.0,3420.3333333333335,4317.333333333333
WS_mm-10-10-1891798,10.0,10.0,3468.6666666666665,3341.0,3111.0,3399.3333333333335,3461.0,3289.6666666666665,3125.0,3410.0
WS_mm-15-40-1917698,15.0,40.0,8770.666666666666,7128.333333333333,5454.333333333333,7580.0,8723.666666666666,6994.333333333333,3875.3333333333335,7600.0
WS_mm-5-10-1110588,5.0,10.0,2723.0,2702.0,2648.6666666666665,2719.0,2723.0,2642.3333333333335,2630.0,2719.0
WS_mm-15-25-1110588,15.0,25.0,6950.0,5995.0,4368.666666666667,6302.333333333333,6967.333333333333,5996.333333333333,3913.3333333333335,6334.0
WS_mm-25-10-1110588,25.0,10.0,5101.0,4256.666666666667,3116.0,4422.0,5091.333333333333,4296.666666666667,2376.0,4437.0
WS_mm-20-25-1110588,20.0,25.0,6471.666666666667,5286.666666666667,4130.666666666667,5593.666666666667,6447.0,5211.333333333333,2699.0,5561.0
WS_mm-5-40-1110588,5.0,40.0,7551.333333333333,6469.0,6047.666666666667,7266.333333333333,7446.333333333333,6467.666666666667,6234.0,7195.666666666667
WS_mm-5-40-1762875,5.0,40.0,6958.333333333333,5859.0,5877.0,6791.0,6916.666666666667,6322.0,5880.333333333333,6753.0
WS_mm-15-40-1891798,15.0,40.0,7558.0,6060.666666666667,4571.0,6913.333333333333,7505.0,5483.666666666667,4563.666666666667,6858.666666666667
WS_mm-15-25-1917698,15.0,25.0,6264.0,5566.333333333333,4602.333333333333,5818.0,6336.0,4964.666666666667,3510.0,5778.0
WS_mm-15-25-1762875,15.0,25.0,6682.333333333333,5586.666666666667,4591.0,6262.0,6707.0,5678.0,3710.0,6068.333333333333
WS_mm-15-10-1762875,15.0,10.0,3982.0,3584.6666666666665,2896.6666666666665,3681.0,3908.0,3585.0,2798.6666666666665,3634.3333333333335
WS_mm-5-25-1767920,5.0,25.0,5592.666666666667,5193.0,5076.333333333333,5490.0,5566.333333333333,5190.666666666667,5033.333333333333,5547.333333333333
WS_mm-20-10-1917698,20.0,10.0,4163.333333333333,3728.6666666666665,2557.0,3674.3333333333335,4165.0,3693.6666666666665,2249.6666666666665,3669.3333333333335
WS_mm-10-10-1110588,10.0,10.0,3518.6666666666665,3382.6666666666665,3193.0,3381.0,3488.6666666666665,3267.3333333333335,3079.0,3384.0
WS_mm-10-40-1891798,10.0,40.0,7554.666666666667,6116.666666666667,5359.0,7216.333333333333,7624.0,5994.0,5460.666666666667,7042.666666666667
WS_mm-5-10-1762875,5.0,10.0,2270.0,2215.0,2167.6666666666665,2267.3333333333335,2259.6666666666665,2238.3333333333335,2168.3333333333335,2270.0
WS_mm-10-10-1767920,10.0,10.0,3922.6666666666665,3771.0,3504.6666666666665,3790.0,3932.3333333333335,3714.3333333333335,3426.6666666666665,3780.3333333333335
WS_mm-5-25-1110588,5.0,25.0,5620.666666666667,5117.333333333333,4958.0,5461.0,5557.666666666667,5232.0,5089.0,5524.0
WS_mm-25-25-1917698,25.0,25.0,6575.666666666667,5238.666666666667,2588.0,5575.666666666667,6505.666666666667,5239.333333333333,2307.6666666666665,5510.0
WS_mm-10-25-1762875,10.0,25.0,5784.666666666667,5274.333333333333,4308.333333333333,5406.0,5783.0,5126.0,4542.333333333333,5379.666666666667
WS_mm-15-10-1110588,15.0,10.0,4351.0,3879.6666666666665,2964.0,3992.3333333333335,4274.666666666667,3897.6666666666665,2850.0,3963.3333333333335
WS_mm-15-25-1767920,15.0,25.0,6060.0,5161.333333333333,3982.0,5447.333333333333,6064.333333333333,5235.666666666667,3864.3333333333335,5464.333333333333
WS_mm-5-10-1917698,5.0,10.0,3159.0,3069.3333333333335,3010.6666666666665,3156.3333333333335,3153.6666666666665,3098.3333333333335,2999.6666666666665,3152.3333333333335
WS_mm-15-25-1891798,15.0,25.0,6025.333333333333,5312.333333333333,4365.0,5535.0,6010.666666666667,5186.666666666667,3782.6666666666665,5493.0
WS_mm-20-10-1767920,20.0,10.0,4678.666666666667,3963.3333333333335,2972.0,4154.333333333333,4663.0,4054.0,2243.0,4115.666666666667
