instance_prefix,settings_prefix,m,n,value,time,nIter,best_iter,improv_count,solved
mm-15-40,Exact,15.0,40.0,3229.75,1024983.75,-1.0,-1.0,0.0,4
mm-5-25,Exact,5.0,25.0,8800.4,1024050.0,-1.0,-1.0,0.0,5
mm-25-10,Exact,25.0,10.0,1008.0,1025148.4,-1.0,-1.0,0.0,5
mm-10-25,Exact,10.0,25.0,3208.2,1024189.4,-1.0,-1.0,0.0,5
mm-15-25,Exact,15.0,25.0,3402.8,1024529.8,-1.0,-1.0,0.0,5
mm-10-10,Exact,10.0,10.0,5422.8,1024082.0,-1.0,-1.0,0.0,5
mm-20-10,Exact,20.0,10.0,913.6,1024512.4,-1.0,-1.0,0.0,5
mm-10-40,Exact,10.0,40.0,3853.0,1024521.6,-1.0,-1.0,0.0,5
mm-5-40,Exact,5.0,40.0,8826.6,1024110.2,-1.0,-1.0,0.0,5
mm-15-10,Exact,15.0,10.0,3593.6,1024237.0,-1.0,-1.0,0.0,5
mm-20-25,Exact,20.0,25.0,2164.6,1025125.4,-1.0,-1.0,0.0,5
mm-5-10,Exact,5.0,10.0,4660.6,1024019.2,-1.0,-1.0,0.0,5
