instance,settings,m,n,value,time,nIter,best_iter,improv_count
mm-15-40-1767920,Exact,15,40,3224,1024999,-1,-1,0
mm-5-25-1917698,Exact,5,25,6617,1024044,-1,-1,0
mm-25-10-1762875,Exact,25,10,909,1025167,-1,-1,0
mm-10-25-1110588,Exact,10,25,2919,1024186,-1,-1,0
mm-25-25-1891798,Exact,25,25,-1,-1,-1,-1,-1
mm-15-40-1891798,Exact,15,40,3492,1024995,-1,-1,0
mm-15-25-1767920,Exact,15,25,3506,1024531,-1,-1,0
mm-10-25-1762875,Exact,10,25,2106,1024188,-1,-1,0
mm-10-10-1762875,Exact,10,10,6052,1024073,-1,-1,0
mm-20-10-1762875,Exact,20,10,1173,1024511,-1,-1,0
mm-15-25-1762875,Exact,15,25,3362,1024533,-1,-1,0
mm-10-40-1891798,Exact,10,40,3145,1024361,-1,-1,0
mm-15-40-1762875,Exact,15,40,3675,1024945,-1,-1,0
mm-5-40-1767920,Exact,5,40,7455,1024096,-1,-1,0
mm-25-25-1110588,Exact,25,25,-1,-1,-1,-1,-1
mm-15-10-1767920,Exact,15,10,1499,1024206,-1,-1,0
mm-20-25-1891798,Exact,20,25,2849,1025052,-1,-1,0
mm-10-40-1762875,Exact,10,40,3161,1024373,-1,-1,0
mm-25-25-1762875,Exact,25,25,-1,-1,-1,-1,-1
mm-5-40-1917698,Exact,5,40,10493,1024113,-1,-1,0
mm-10-25-1891798,Exact,10,25,3613,1024191,-1,-1,0
mm-5-40-1762875,Exact,5,40,8320,1024152,-1,-1,0
mm-25-25-1767920,Exact,25,25,-1,-1,-1,-1,-1
mm-5-10-1891798,Exact,5,10,5528,1024020,-1,-1,0
mm-25-10-1917698,Exact,25,10,650,1025163,-1,-1,0
mm-15-10-1917698,Exact,15,10,5210,1024307,-1,-1,0
mm-15-25-1917698,Exact,15,25,3924,1024529,-1,-1,0
mm-5-25-1762875,Exact,5,25,10077,1024049,-1,-1,0
mm-20-25-1767920,Exact,20,25,2893,1025165,-1,-1,0
mm-20-25-1762875,Exact,20,25,3061,1025131,-1,-1,0
mm-20-10-1767920,Exact,20,10,1025,1024530,-1,-1,0
mm-15-40-1917698,Exact,15,40,2528,1024996,-1,-1,0
mm-5-40-1110588,Exact,5,40,6149,1024097,-1,-1,0
mm-10-25-1767920,Exact,10,25,4416,1024190,-1,-1,0
mm-20-25-1917698,Exact,20,25,1878,1025121,-1,-1,0
mm-10-40-1110588,Exact,10,40,3758,1024383,-1,-1,0
mm-5-25-1767920,Exact,5,25,8200,1024046,-1,-1,0
mm-10-10-1917698,Exact,10,10,5924,1024109,-1,-1,0
mm-15-10-1110588,Exact,15,10,4416,1024215,-1,-1,0
mm-10-10-1110588,Exact,10,10,2676,1024078,-1,-1,0
mm-20-10-1891798,Exact,20,10,1352,1024484,-1,-1,0
mm-10-25-1917698,Exact,10,25,2987,1024192,-1,-1,0
mm-5-10-1767920,Exact,5,10,5077,1024025,-1,-1,0
mm-5-10-1917698,Exact,5,10,5059,1024018,-1,-1,0
mm-15-40-1110588,Exact,15,40,-1,-1,-1,-1,-1
mm-10-40-1767920,Exact,10,40,4351,1024985,-1,-1,0
mm-5-10-1762875,Exact,5,10,3715,1024016,-1,-1,0
mm-25-10-1110588,Exact,25,10,1339,1025084,-1,-1,0
mm-20-10-1917698,Exact,20,10,577,1024523,-1,-1,0
mm-15-25-1110588,Exact,15,25,2980,1024533,-1,-1,0
mm-25-25-1917698,Exact,25,25,-1,-1,-1,-1,-1
mm-5-25-1891798,Exact,5,25,8777,1024059,-1,-1,0
mm-5-10-1110588,Exact,5,10,3924,1024017,-1,-1,0
mm-10-10-1767920,Exact,10,10,6103,1024075,-1,-1,0
mm-5-40-1891798,Exact,5,40,11716,1024093,-1,-1,0
mm-10-10-1891798,Exact,10,10,6359,1024075,-1,-1,0
mm-10-40-1917698,Exact,10,40,4850,1024506,-1,-1,0
mm-20-10-1110588,Exact,20,10,441,1024514,-1,-1,0
mm-15-25-1891798,Exact,15,25,3242,1024523,-1,-1,0
mm-15-10-1891798,Exact,15,10,3354,1024220,-1,-1,0
mm-25-10-1767920,Exact,25,10,1403,1025173,-1,-1,0
mm-5-25-1110588,Exact,5,25,10331,1024052,-1,-1,0
mm-20-25-1110588,Exact,20,25,142,1025158,-1,-1,0
mm-15-10-1762875,Exact,15,10,3489,1024237,-1,-1,0
mm-25-10-1891798,Exact,25,10,739,1025155,-1,-1,0
