instance,m,n,Memetic_MMX,Memetic-LS_MPX,Memetic_MPX,Memetic-LS_MMX,Exact
mm-20-10-1110588,20.0,10.0,4244.333333333333,2158.6666666666665,3517.3333333333335,3528.0,441
mm-15-40-1917698,15.0,40.0,8920.0,3460.6666666666665,7055.666666666667,6823.333333333333,2528
mm-20-10-1767920,20.0,10.0,4654.666666666667,1982.6666666666667,3682.0,4179.0,1025
mm-10-10-1891798,10.0,10.0,3456.6666666666665,2812.3333333333335,3323.6666666666665,3282.6666666666665,6359
mm-5-25-1891798,5.0,25.0,5265.666666666667,4712.0,5135.666666666667,4772.0,8777
mm-15-10-1767920,15.0,10.0,4612.0,2600.0,4055.0,4094.3333333333335,1499
mm-25-25-1767920,25.0,25.0,7112.0,1815.3333333333333,5258.333333333333,5373.333333333333,-1
mm-15-40-1767920,15.0,40.0,8306.0,3153.0,6326.666666666667,5892.333333333333,3224
mm-20-10-1917698,20.0,10.0,4143.666666666667,2192.6666666666665,3591.6666666666665,3728.3333333333335,577
mm-5-10-1891798,5.0,10.0,3196.3333333333335,3025.3333333333335,3187.0,3113.0,5528
mm-20-25-1110588,20.0,25.0,6437.333333333333,2699.0,5298.666666666667,5221.666666666667,142
mm-10-25-1917698,10.0,25.0,5525.0,3900.0,5097.0,4777.333333333333,2987
mm-10-25-1891798,10.0,25.0,6398.666666666667,5016.666666666667,6108.0,5616.0,3613
mm-10-25-1767920,10.0,25.0,6377.0,4006.0,5598.333333333333,5688.333333333333,4416
mm-10-40-1110588,10.0,40.0,7639.333333333333,5010.333333333333,6910.666666666667,6062.0,3758
mm-25-10-1767920,25.0,10.0,4504.333333333333,1993.0,3625.6666666666665,3918.3333333333335,1403
mm-15-40-1762875,15.0,40.0,7423.333333333333,3560.3333333333335,6493.666666666667,5649.333333333333,3675
mm-5-10-1917698,5.0,10.0,3159.0,2926.6666666666665,3156.3333333333335,3031.6666666666665,5059
mm-15-25-1767920,15.0,25.0,6067.0,2577.0,4871.333333333333,5288.333333333333,3506
mm-25-25-1917698,25.0,25.0,6512.0,2331.0,5256.333333333333,5436.0,-1
mm-25-25-1891798,25.0,25.0,6828.666666666667,1991.6666666666667,5098.333333333333,5618.333333333333,-1
mm-10-40-1767920,10.0,40.0,7683.666666666667,4810.0,6727.666666666667,6458.333333333333,4351
mm-5-40-1110588,5.0,40.0,7644.666666666667,6082.666666666667,7311.666666666667,6680.333333333333,6149
mm-5-40-1891798,5.0,40.0,7991.0,6427.666666666667,7733.333333333333,6880.0,11716
mm-5-25-1762875,5.0,25.0,5720.666666666667,5145.333333333333,5529.666666666667,5284.666666666667,10077
mm-15-25-1891798,15.0,25.0,6122.0,3579.6666666666665,5458.0,5130.0,3242
mm-20-25-1891798,20.0,25.0,6542.333333333333,2667.6666666666665,5375.0,5285.0,2849
mm-10-10-1767920,10.0,10.0,3926.3333333333335,3043.3333333333335,3725.6666666666665,3762.0,6103
mm-10-25-1762875,10.0,25.0,5781.0,4161.0,5310.666666666667,4987.666666666667,2106
mm-5-25-1110588,5.0,25.0,5619.666666666667,4833.666666666667,5482.0,5239.666666666667,10331
mm-10-10-1917698,10.0,10.0,3588.6666666666665,2928.6666666666665,3426.0,3379.3333333333335,5924
mm-5-40-1762875,5.0,40.0,6937.333333333333,5786.333333333333,6786.666666666667,6255.333333333333,8320
mm-10-40-1891798,10.0,40.0,7559.333333333333,5178.0,7144.333333333333,5957.0,3145
mm-25-10-1891798,25.0,10.0,5337.333333333333,2051.0,4198.0,4562.333333333333,739
mm-5-25-1917698,5.0,25.0,5220.0,4776.333333333333,5184.333333333333,4832.333333333333,6617
mm-25-10-1110588,25.0,10.0,5076.0,2315.6666666666665,4290.333333333333,4362.666666666667,1339
mm-20-25-1762875,20.0,25.0,6418.666666666667,2684.6666666666665,5301.333333333333,5162.666666666667,3061
mm-25-10-1762875,25.0,10.0,5165.333333333333,1712.6666666666667,4061.3333333333335,4092.3333333333335,909
mm-10-40-1762875,10.0,40.0,7766.333333333333,5142.0,7153.0,6051.0,3161
mm-20-25-1767920,20.0,25.0,7380.0,2472.3333333333335,5704.0,5754.0,2893
mm-15-40-1891798,15.0,40.0,7615.666666666667,3492.0,6524.0,5810.666666666667,3492
mm-10-10-1762875,10.0,10.0,2921.3333333333335,2632.0,2835.0,2694.6666666666665,6052
mm-25-25-1762875,25.0,25.0,6349.666666666667,2081.6666666666665,4901.333333333333,5207.333333333333,-1
mm-15-25-1110588,15.0,25.0,6999.333333333333,3655.3333333333335,6287.0,6055.0,2980
mm-25-25-1110588,25.0,25.0,7177.333333333333,2141.3333333333335,5929.666666666667,5889.666666666667,-1
mm-15-10-1762875,15.0,10.0,3981.6666666666665,2816.0,3569.3333333333335,3710.6666666666665,3489
mm-5-40-1767920,5.0,40.0,7754.666666666667,5852.0,7279.666666666667,6465.666666666667,7455
mm-20-25-1917698,20.0,25.0,6469.0,2642.3333333333335,5342.0,5405.333333333333,1878
mm-15-10-1917698,15.0,10.0,4084.6666666666665,2832.6666666666665,3781.3333333333335,3777.3333333333335,5210
mm-15-25-1917698,15.0,25.0,6220.666666666667,3685.6666666666665,5540.0,5194.333333333333,3924
mm-15-10-1110588,15.0,10.0,4300.666666666667,2760.6666666666665,3849.0,3841.0,4416
mm-20-10-1762875,20.0,10.0,4470.666666666667,2153.6666666666665,3851.6666666666665,3941.0,1173
mm-20-10-1891798,20.0,10.0,4988.333333333333,2519.6666666666665,4181.666666666667,4154.333333333333,1352
mm-25-10-1917698,25.0,10.0,4972.0,2104.6666666666665,4169.0,4176.333333333333,650
mm-5-40-1917698,5.0,40.0,7592.333333333333,6320.333333333333,7405.333333333333,6637.0,10493
mm-15-25-1762875,15.0,25.0,6683.333333333333,3419.3333333333335,5794.0,5682.333333333333,3362
mm-10-10-1110588,10.0,10.0,3515.3333333333335,2864.3333333333335,3339.3333333333335,3274.0,2676
mm-5-25-1767920,5.0,25.0,5597.666666666667,4726.333333333333,5488.0,5291.0,8200
mm-10-25-1110588,10.0,25.0,6009.333333333333,4286.333333333333,5531.666666666667,5343.0,2919
mm-15-10-1891798,15.0,10.0,4564.333333333333,3242.6666666666665,4092.3333333333335,4227.666666666667,3354
mm-10-40-1917698,10.0,40.0,7821.0,4971.666666666667,7019.0,6419.0,4850
mm-5-10-1762875,5.0,10.0,2262.0,2186.6666666666665,2260.3333333333335,2190.6666666666665,3715
mm-5-10-1767920,5.0,10.0,3031.0,2868.3333333333335,3005.3333333333335,2873.0,5077
mm-15-40-1110588,15.0,40.0,8600.333333333334,3642.0,7147.666666666667,6577.666666666667,-1
mm-5-10-1110588,5.0,10.0,2723.0,2598.3333333333335,2719.0,2686.6666666666665,3924
