instance_prefix,settings_prefix,m,n,value,time,nIter,best_iter,improv_count,solved
mm-20-10,Memetic_MMX,20.0,10.0,4500.333333333333,1024003.0,227388.26666666666,227388.26666666666,227388.26666666666,15
mm-15-40,Memetic-LS_MMX,15.0,40.0,6150.666666666667,1024006.0,699789.6,699789.6,699789.6,15
mm-20-10,Memetic-LS_MMX,20.0,10.0,3906.133333333333,1024001.0666666667,2614626.2666666666,2614626.2666666666,2614626.2666666666,15
mm-10-10,Memetic-LS_MMX,10.0,10.0,3278.5333333333333,1024001.0,4250566.333333333,4250566.333333333,4250566.333333333,15
mm-5-25,Memetic_MPX,5.0,25.0,5363.933333333333,1024005.3333333334,123481.0,123481.0,123481.0,15
mm-15-10,Memetic-LS_MPX,15.0,10.0,2850.4,1024001.0666666667,2452475.1333333333,2452475.1333333333,2452475.1333333333,15
mm-25-25,Memetic_MPX,25.0,25.0,5288.8,1024003.0,259455.86666666667,259455.86666666667,259455.86666666667,15
mm-15-10,Memetic_MPX,15.0,10.0,3869.4,1024001.8666666667,377092.93333333335,377092.93333333335,377092.93333333335,15
mm-15-40,Memetic_MPX,15.0,40.0,6709.533333333334,1024006.7333333333,138507.0,138507.0,138507.0,15
mm-5-10,Memetic_MMX,5.0,10.0,2874.266666666667,1024002.0,670612.4666666667,670612.4666666667,670612.4666666667,15
mm-20-25,Memetic_MMX,20.0,25.0,6649.466666666666,1024007.0666666667,106362.06666666667,106362.06666666667,106362.06666666667,15
mm-10-25,Memetic-LS_MPX,10.0,25.0,4274.0,1024001.6666666666,967194.1333333333,967194.1333333333,967194.1333333333,15
mm-20-25,Memetic_MPX,20.0,25.0,5404.2,1024004.3333333334,238055.8,238055.8,238055.8,15
mm-10-40,Memetic-LS_MMX,10.0,40.0,6189.466666666666,1024004.4666666667,753082.0666666667,753082.0666666667,753082.0666666667,15
mm-25-10,Memetic_MPX,25.0,10.0,4068.866666666667,1024001.8,418312.26666666666,418312.26666666666,418312.26666666666,15
mm-15-40,Memetic-LS_MPX,15.0,40.0,3461.6,1024002.8,659158.4666666667,659158.4666666667,659158.4666666667,15
mm-5-10,Memetic-LS_MMX,5.0,10.0,2779.0,1024001.0,6788911.8,6788911.8,6788911.8,15
mm-15-25,Memetic_MMX,15.0,25.0,6418.466666666666,1024007.4666666667,129197.33333333333,129197.33333333333,129197.33333333333,15
mm-25-25,Memetic-LS_MMX,25.0,25.0,5504.933333333333,1024003.0,1125912.2,1125912.2,1125912.2,15
mm-10-25,Memetic_MMX,10.0,25.0,6018.2,1024005.1333333333,163631.6,163631.6,163631.6,15
