instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
mm-20-10-1110588,Memetic_MMX,20.0,10.0,4244.333333333333,1024001.3333333334,284491.3333333333,284491.3333333333,284491.3333333333
mm-15-40-1917698,Memetic-LS_MMX,15.0,40.0,6823.333333333333,1024010.0,688330.6666666666,688330.6666666666,688330.6666666666
mm-20-10-1767920,Memetic-LS_MMX,20.0,10.0,4179.0,1024001.3333333334,2414135.6666666665,2414135.6666666665,2414135.6666666665
mm-10-10-1891798,Memetic-LS_MMX,10.0,10.0,3282.6666666666665,1024001.0,4561620.333333333,4561620.333333333,4561620.333333333
mm-5-25-1891798,Memetic_MPX,5.0,25.0,5135.666666666667,1024004.0,118328.33333333333,118328.33333333333,118328.33333333333
mm-15-10-1767920,Memetic-LS_MPX,15.0,10.0,2600.0,1024001.0,2312059.6666666665,2312059.6666666665,2312059.6666666665
mm-25-25-1767920,Memetic_MPX,25.0,25.0,5258.333333333333,1024002.3333333334,229456.0,229456.0,229456.0
mm-15-10-1767920,Memetic_MPX,15.0,10.0,4055.0,1024001.6666666666,410699.6666666667,410699.6666666667,410699.6666666667
mm-15-40-1767920,Memetic_MPX,15.0,40.0,6326.666666666667,1024002.6666666666,159627.33333333334,159627.33333333334,159627.33333333334
mm-20-10-1917698,Memetic_MMX,20.0,10.0,4143.666666666667,1024004.3333333334,215251.33333333334,215251.33333333334,215251.33333333334
mm-5-10-1891798,Memetic_MMX,5.0,10.0,3196.3333333333335,1024002.0,679262.3333333334,679262.3333333334,679262.3333333334
mm-20-25-1110588,Memetic_MMX,20.0,25.0,6437.333333333333,1024006.6666666666,125476.66666666667,125476.66666666667,125476.66666666667
mm-10-25-1917698,Memetic-LS_MPX,10.0,25.0,3900.0,1024002.0,993789.6666666666,993789.6666666666,993789.6666666666
mm-10-25-1891798,Memetic-LS_MPX,10.0,25.0,5016.666666666667,1024001.6666666666,816699.0,816699.0,816699.0
mm-20-25-1110588,Memetic_MPX,20.0,25.0,5298.666666666667,1024002.6666666666,265541.0,265541.0,265541.0
mm-10-25-1767920,Memetic-LS_MPX,10.0,25.0,4006.0,1024002.3333333334,1140533.6666666667,1140533.6666666667,1140533.6666666667
mm-10-40-1110588,Memetic-LS_MMX,10.0,40.0,6062.0,1024001.0,791477.0,791477.0,791477.0
mm-25-10-1767920,Memetic_MPX,25.0,10.0,3625.6666666666665,1024001.3333333334,550354.6666666666,550354.6666666666,550354.6666666666
mm-15-40-1762875,Memetic-LS_MPX,15.0,40.0,3560.3333333333335,1024003.0,665728.6666666666,665728.6666666666,665728.6666666666
mm-5-10-1917698,Memetic-LS_MMX,5.0,10.0,3031.6666666666665,1024001.0,5828097.333333333,5828097.333333333,5828097.333333333
mm-15-25-1767920,Memetic_MMX,15.0,25.0,6067.0,1024008.0,163160.66666666666,163160.66666666666,163160.66666666666
mm-25-25-1917698,Memetic-LS_MMX,25.0,25.0,5436.0,1024003.6666666666,1123555.0,1123555.0,1123555.0
mm-25-25-1891798,Memetic_MPX,25.0,25.0,5098.333333333333,1024004.3333333334,285579.3333333333,285579.3333333333,285579.3333333333
mm-10-25-1767920,Memetic_MMX,10.0,25.0,6377.0,1024007.3333333334,134048.0,134048.0,134048.0
mm-10-40-1767920,Memetic_MMX,10.0,40.0,7683.666666666667,1024007.3333333334,81089.66666666667,81089.66666666667,81089.66666666667
mm-5-40-1110588,Memetic-LS_MMX,5.0,40.0,6680.333333333333,1024003.3333333334,1012948.0,1012948.0,1012948.0
mm-5-40-1891798,Memetic-LS_MPX,5.0,40.0,6427.666666666667,1024003.6666666666,508131.3333333333,508131.3333333333,508131.3333333333
mm-5-25-1762875,Memetic_MMX,5.0,25.0,5720.666666666667,1024005.0,187358.66666666666,187358.66666666666,187358.66666666666
mm-10-25-1891798,Memetic_MMX,10.0,25.0,6398.666666666667,1024005.3333333334,178148.0,178148.0,178148.0
mm-15-25-1891798,Memetic-LS_MMX,15.0,25.0,5130.0,1024003.3333333334,1450398.0,1450398.0,1450398.0
mm-20-25-1891798,Memetic_MMX,20.0,25.0,6542.333333333333,1024003.3333333334,107072.33333333333,107072.33333333333,107072.33333333333
mm-10-10-1767920,Memetic_MMX,10.0,10.0,3926.3333333333335,1024002.0,421099.3333333333,421099.3333333333,421099.3333333333
mm-20-25-1891798,Memetic-LS_MMX,20.0,25.0,5285.0,1024002.6666666666,1285887.0,1285887.0,1285887.0
mm-10-25-1762875,Memetic-LS_MMX,10.0,25.0,4987.666666666667,1024002.0,1889551.6666666667,1889551.6666666667,1889551.6666666667
mm-5-25-1110588,Memetic-LS_MMX,5.0,25.0,5239.666666666667,1024001.0,2311305.0,2311305.0,2311305.0
mm-10-10-1917698,Memetic-LS_MPX,10.0,10.0,2928.6666666666665,1024001.0,2078066.6666666667,2078066.6666666667,2078066.6666666667
mm-20-10-1110588,Memetic-LS_MPX,20.0,10.0,2158.6666666666665,1024001.0,2346750.3333333335,2346750.3333333335,2346750.3333333335
mm-5-40-1762875,Memetic-LS_MMX,5.0,40.0,6255.333333333333,1024001.3333333334,1043558.6666666666,1043558.6666666666,1043558.6666666666
mm-10-40-1110588,Memetic-LS_MPX,10.0,40.0,5010.333333333333,1024001.0,564698.0,564698.0,564698.0
mm-10-40-1891798,Memetic-LS_MPX,10.0,40.0,5178.0,1024002.6666666666,558308.6666666666,558308.6666666666,558308.6666666666
mm-25-10-1891798,Memetic-LS_MMX,25.0,10.0,4562.333333333333,1024001.0,2342404.0,2342404.0,2342404.0
mm-15-40-1767920,Memetic_MMX,15.0,40.0,8306.0,1024008.6666666666,58999.333333333336,58999.333333333336,58999.333333333336
mm-5-25-1917698,Memetic_MPX,5.0,25.0,5184.333333333333,1024006.0,128179.66666666667,128179.66666666667,128179.66666666667
mm-25-10-1110588,Memetic-LS_MPX,25.0,10.0,2315.6666666666665,1024001.0,2168264.0,2168264.0,2168264.0
mm-20-25-1762875,Memetic-LS_MPX,20.0,25.0,2684.6666666666665,1024001.0,1134829.3333333333,1134829.3333333333,1134829.3333333333
mm-25-10-1762875,Memetic_MMX,25.0,10.0,5165.333333333333,1024003.6666666666,162440.66666666666,162440.66666666666,162440.66666666666
mm-10-40-1762875,Memetic-LS_MPX,10.0,40.0,5142.0,1024002.6666666666,570383.6666666666,570383.6666666666,570383.6666666666
mm-20-25-1767920,Memetic_MMX,20.0,25.0,7380.0,1024006.6666666666,89006.66666666667,89006.66666666667,89006.66666666667
mm-15-40-1891798,Memetic-LS_MPX,15.0,40.0,3492.0,1024001.0,632998.0,632998.0,632998.0
mm-20-25-1110588,Memetic-LS_MMX,20.0,25.0,5221.666666666667,1024002.0,1178483.3333333333,1178483.3333333333,1178483.3333333333
mm-10-10-1762875,Memetic-LS_MMX,10.0,10.0,2694.6666666666665,1024001.0,3962346.3333333335,3962346.3333333335,3962346.3333333335
mm-25-25-1762875,Memetic-LS_MPX,25.0,25.0,2081.6666666666665,1024001.6666666666,1060997.6666666667,1060997.6666666667,1060997.6666666667
mm-15-25-1110588,Memetic_MPX,15.0,25.0,6287.0,1024005.3333333334,194175.66666666666,194175.66666666666,194175.66666666666
mm-5-40-1110588,Memetic_MPX,5.0,40.0,7311.666666666667,1024011.3333333334,47380.0,47380.0,47380.0
mm-10-10-1917698,Memetic_MPX,10.0,10.0,3426.0,1024002.0,349054.0,349054.0,349054.0
mm-15-25-1110588,Memetic-LS_MPX,15.0,25.0,3655.3333333333335,1024002.0,1324497.6666666667,1324497.6666666667,1324497.6666666667
mm-25-25-1110588,Memetic-LS_MPX,25.0,25.0,2141.3333333333335,1024001.3333333334,1078400.6666666667,1078400.6666666667,1078400.6666666667
mm-15-40-1767920,Memetic-LS_MPX,15.0,40.0,3153.0,1024003.0,640899.3333333334,640899.3333333334,640899.3333333334
mm-10-25-1891798,Memetic-LS_MMX,10.0,25.0,5616.0,1024002.6666666666,1597811.6666666667,1597811.6666666667,1597811.6666666667
mm-10-40-1110588,Memetic_MPX,10.0,40.0,6910.666666666667,1024011.0,95988.33333333333,95988.33333333333,95988.33333333333
mm-10-25-1891798,Memetic_MPX,10.0,25.0,6108.0,1024007.3333333334,127436.33333333333,127436.33333333333,127436.33333333333
mm-15-10-1762875,Memetic-LS_MMX,15.0,10.0,3710.6666666666665,1024001.0,3304792.0,3304792.0,3304792.0
mm-15-25-1891798,Memetic_MMX,15.0,25.0,6122.0,1024003.0,133189.0,133189.0,133189.0
mm-5-40-1767920,Memetic-LS_MPX,5.0,40.0,5852.0,1024002.6666666666,499451.6666666667,499451.6666666667,499451.6666666667
mm-25-10-1891798,Memetic_MPX,25.0,10.0,4198.0,1024001.6666666666,395765.0,395765.0,395765.0
mm-20-25-1917698,Memetic_MMX,20.0,25.0,6469.0,1024007.0,108921.0,108921.0,108921.0
mm-10-40-1891798,Memetic_MMX,10.0,40.0,7559.333333333333,1024014.0,89926.0,89926.0,89926.0
mm-10-10-1891798,Memetic_MMX,10.0,10.0,3456.6666666666665,1024002.0,434580.6666666667,434580.6666666667,434580.6666666667
mm-10-25-1767920,Memetic-LS_MMX,10.0,25.0,5688.333333333333,1024001.0,1632292.3333333333,1632292.3333333333,1632292.3333333333
mm-5-10-1891798,Memetic_MPX,5.0,10.0,3187.0,1024002.0,375768.0,375768.0,375768.0
mm-15-40-1762875,Memetic-LS_MMX,15.0,40.0,5649.333333333333,1024006.0,646514.3333333334,646514.3333333334,646514.3333333334
mm-10-40-1767920,Memetic-LS_MMX,10.0,40.0,6458.333333333333,1024004.3333333334,758530.6666666666,758530.6666666666,758530.6666666666
mm-20-25-1762875,Memetic_MPX,20.0,25.0,5301.333333333333,1024005.6666666666,233407.66666666666,233407.66666666666,233407.66666666666
mm-15-10-1917698,Memetic-LS_MPX,15.0,10.0,2832.6666666666665,1024001.0,2364458.3333333335,2364458.3333333335,2364458.3333333335
mm-15-40-1917698,Memetic-LS_MPX,15.0,40.0,3460.6666666666665,1024005.0,695577.0,695577.0,695577.0
mm-10-10-1762875,Memetic_MMX,10.0,10.0,2921.3333333333335,1024001.3333333334,488970.0,488970.0,488970.0
mm-5-40-1767920,Memetic_MPX,5.0,40.0,7279.666666666667,1024017.6666666666,46803.333333333336,46803.333333333336,46803.333333333336
mm-15-25-1917698,Memetic-LS_MMX,15.0,25.0,5194.333333333333,1024002.0,1334921.6666666667,1334921.6666666667,1334921.6666666667
mm-25-25-1110588,Memetic_MMX,25.0,25.0,7177.333333333333,1024005.3333333334,76135.0,76135.0,76135.0
mm-15-10-1110588,Memetic_MMX,15.0,10.0,4300.666666666667,1024003.3333333334,305610.0,305610.0,305610.0
mm-5-25-1917698,Memetic-LS_MPX,5.0,25.0,4776.333333333333,1024001.0,819501.0,819501.0,819501.0
mm-20-10-1762875,Memetic_MPX,20.0,10.0,3851.6666666666665,1024002.6666666666,340785.0,340785.0,340785.0
mm-5-40-1110588,Memetic-LS_MPX,5.0,40.0,6082.666666666667,1024004.0,469086.3333333333,469086.3333333333,469086.3333333333
mm-20-10-1767920,Memetic_MMX,20.0,10.0,4654.666666666667,1024003.6666666666,209518.66666666666,209518.66666666666,209518.66666666666
mm-20-10-1891798,Memetic_MPX,20.0,10.0,4181.666666666667,1024003.0,376897.3333333333,376897.3333333333,376897.3333333333
mm-25-10-1917698,Memetic_MPX,25.0,10.0,4169.0,1024002.6666666666,363318.3333333333,363318.3333333333,363318.3333333333
mm-15-25-1917698,Memetic_MPX,15.0,25.0,5540.0,1024006.6666666666,165887.33333333334,165887.33333333334,165887.33333333334
mm-5-10-1917698,Memetic_MPX,5.0,10.0,3156.3333333333335,1024002.0,383219.0,383219.0,383219.0
mm-15-25-1767920,Memetic-LS_MPX,15.0,25.0,2577.0,1024003.3333333334,1393716.3333333333,1393716.3333333333,1393716.3333333333
mm-25-10-1917698,Memetic_MMX,25.0,10.0,4972.0,1024004.3333333334,166512.0,166512.0,166512.0
mm-25-25-1891798,Memetic-LS_MMX,25.0,25.0,5618.333333333333,1024001.3333333334,1039338.3333333334,1039338.3333333334,1039338.3333333334
mm-5-25-1762875,Memetic_MPX,5.0,25.0,5529.666666666667,1024009.6666666666,109774.66666666667,109774.66666666667,109774.66666666667
