instance,settings,m,n,value,time,nIter,best_iter,improv_count
mm-20-10-1110588,Memetic_MMX_1287823,20,10,4281.0,1024001.0,266859,266859,266859
mm-15-40-1917698,Memetic-LS_MMX_1099666,15,40,7016.0,1024014.0,664530,664530,664530
mm-20-10-1767920,Memetic-LS_MMX_1287823,20,10,4301.0,1024002.0,2091241,2091241,2091241
mm-10-10-1891798,Memetic-LS_MMX_1881515,10,10,3223.0,1024001.0,4035058,4035058,4035058
mm-5-25-1891798,Memetic_MPX_1099666,5,25,5126.0,1024001.0,109219,109219,109219
mm-15-10-1767920,Memetic-LS_MPX_1881515,15,10,2414.0,1024001.0,2299604,2299604,2299604
mm-25-25-1767920,Memetic_MPX_1287823,25,25,5217.0,1024002.0,220018,220018,220018
mm-15-10-1767920,Memetic_MPX_1287823,15,10,4026.0,1024002.0,380974,380974,380974
mm-15-40-1767920,Memetic_MPX_1287823,15,40,6444.0,1024003.0,154334,154334,154334
mm-20-10-1917698,Memetic_MMX_1287823,20,10,4151.0,1024004.0,229371,229371,229371
mm-5-10-1891798,Memetic_MMX_1099666,5,10,3198.0,1024004.0,553481,553481,553481
mm-20-25-1110588,Memetic_MMX_1287823,20,25,6481.0,1024006.0,118921,118921,118921
mm-10-25-1917698,Memetic-LS_MPX_1287823,10,25,3938.0,1024002.0,971214,971214,971214
mm-10-25-1891798,Memetic-LS_MPX_1099666,10,25,5094.0,1024001.0,951091,951091,951091
mm-20-25-1110588,Memetic_MPX_1287823,20,25,5079.0,1024003.0,236408,236408,236408
mm-10-25-1767920,Memetic-LS_MPX_1099666,10,25,3596.0,1024001.0,1092755,1092755,1092755
mm-10-40-1110588,Memetic-LS_MMX_1881515,10,40,6468.0,1024001.0,836971,836971,836971
mm-25-10-1767920,Memetic_MPX_1287823,25,10,3625.0,1024001.0,494187,494187,494187
mm-15-40-1762875,Memetic-LS_MPX_1099666,15,40,3571.0,1024001.0,630313,630313,630313
mm-5-10-1917698,Memetic-LS_MMX_1287823,5,10,3059.0,1024001.0,5482138,5482138,5482138
mm-15-25-1767920,Memetic_MMX_1287823,15,25,6002.0,1024001.0,158862,158862,158862
mm-25-25-1917698,Memetic-LS_MMX_1881515,25,25,5301.0,1024005.0,1117366,1117366,1117366
mm-25-25-1891798,Memetic_MPX_1099666,25,25,5152.0,1024009.0,288084,288084,288084
mm-10-25-1767920,Memetic_MMX_1287823,10,25,6398.0,1024003.0,135954,135954,135954
mm-10-40-1767920,Memetic_MMX_1881515,10,40,7695.0,1024005.0,84940,84940,84940
mm-15-40-1917698,Memetic-LS_MMX_1881515,15,40,6733.0,1024003.0,751838,751838,751838
mm-5-40-1110588,Memetic-LS_MMX_1287823,5,40,6816.0,1024002.0,1043681,1043681,1043681
mm-5-40-1891798,Memetic-LS_MPX_1881515,5,40,6342.0,1024001.0,427929,427929,427929
mm-5-25-1762875,Memetic_MMX_1881515,5,25,5733.0,1024003.0,182413,182413,182413
mm-10-25-1891798,Memetic_MMX_1099666,10,25,6357.0,1024003.0,166008,166008,166008
mm-15-25-1891798,Memetic-LS_MMX_1287823,15,25,5054.0,1024001.0,1346213,1346213,1346213
mm-20-25-1891798,Memetic_MMX_1881515,20,25,6611.0,1024001.0,110093,110093,110093
mm-10-10-1767920,Memetic_MMX_1099666,10,10,3931.0,1024001.0,505951,505951,505951
mm-20-25-1891798,Memetic-LS_MMX_1881515,20,25,5271.0,1024001.0,1078394,1078394,1078394
mm-10-25-1762875,Memetic-LS_MMX_1099666,10,25,5081.0,1024004.0,2034114,2034114,2034114
mm-5-25-1110588,Memetic-LS_MMX_1287823,5,25,5328.0,1024001.0,2154173,2154173,2154173
mm-10-10-1917698,Memetic-LS_MPX_1099666,10,10,2973.0,1024001.0,1838146,1838146,1838146
mm-20-10-1110588,Memetic-LS_MPX_1287823,20,10,2409.0,1024001.0,2293095,2293095,2293095
mm-5-40-1762875,Memetic-LS_MMX_1287823,5,40,6152.0,1024001.0,1236446,1236446,1236446
mm-10-40-1110588,Memetic-LS_MPX_1881515,10,40,5345.0,1024001.0,517619,517619,517619
mm-5-10-1917698,Memetic-LS_MMX_1881515,5,10,3041.0,1024001.0,6269542,6269542,6269542
mm-10-40-1891798,Memetic-LS_MPX_1099666,10,40,5046.0,1024002.0,603634,603634,603634
mm-25-10-1891798,Memetic-LS_MMX_1881515,25,10,4454.0,1024001.0,3014916,3014916,3014916
mm-15-40-1767920,Memetic_MMX_1881515,15,40,8281.0,1024004.0,50860,50860,50860
mm-5-25-1917698,Memetic_MPX_1881515,5,25,5149.0,1024004.0,123593,123593,123593
mm-25-10-1110588,Memetic-LS_MPX_1881515,25,10,2454.0,1024001.0,1946720,1946720,1946720
