instance,m,n,WS_Memetic-LS_MMX,WS_Memetic_MMX,WS_Memetic_MPX,WS_Memetic-LS_MPX,Memetic-LS_MMX,Memetic_MMX,Memetic_MPX,Memetic-LS_MPX
20-25-1767920,20.0,25.0,2529.0,2717.6666666666665,2470.3333333333335,2214.0,2503.0,2729.3333333333335,2450.0,2205.0
15-25-1762875,15.0,25.0,2600.0,2762.0,2656.3333333333335,2420.6666666666665,2563.0,2750.3333333333335,2610.0,2382.6666666666665
10-10-1767920,10.0,10.0,1708.0,1794.6666666666667,1755.6666666666667,1667.3333333333333,1670.0,1797.0,1751.3333333333333,1687.3333333333333
25-25-1110588,25.0,25.0,2590.3333333333335,2773.3333333333335,2416.3333333333335,2210.0,2585.0,2761.3333333333335,2425.0,2130.3333333333335
15-40-1767920,15.0,40.0,2812.6666666666665,3183.3333333333335,3022.6666666666665,2575.3333333333335,2877.3333333333335,3177.3333333333335,3017.0,2696.3333333333335
20-25-1891798,20.0,25.0,2604.3333333333335,2851.0,2531.0,2255.3333333333335,2613.6666666666665,2854.6666666666665,2524.6666666666665,2175.3333333333335
20-25-1762875,20.0,25.0,2410.6666666666665,2641.6666666666665,2439.3333333333335,2217.6666666666665,2422.6666666666665,2633.0,2468.3333333333335,2136.3333333333335
15-40-1762875,15.0,40.0,3079.3333333333335,3378.0,3173.6666666666665,2887.3333333333335,3064.6666666666665,3391.0,3177.3333333333335,2851.0
15-40-1917698,15.0,40.0,2978.0,3279.3333333333335,3036.3333333333335,2541.3333333333335,2992.0,3264.0,3058.0,2636.3333333333335
5-10-1767920,5.0,10.0,1719.0,1746.0,1736.6666666666667,1697.6666666666667,1712.0,1742.0,1732.3333333333333,1653.6666666666667
5-10-1891798,5.0,10.0,1906.6666666666667,1943.0,1943.0,1905.0,1921.3333333333333,1943.0,1943.0,1907.0
10-25-1917698,10.0,25.0,2534.3333333333335,2722.6666666666665,2617.3333333333335,2484.3333333333335,2556.6666666666665,2714.0,2615.6666666666665,2417.3333333333335
20-10-1917698,20.0,10.0,1827.6666666666667,1935.0,1730.0,1587.3333333333333,1847.0,1940.6666666666667,1769.3333333333333,1656.3333333333333
10-10-1891798,10.0,10.0,2113.3333333333335,2204.0,2123.6666666666665,1997.0,2159.6666666666665,2203.3333333333335,2127.3333333333335,1969.0
15-10-1110588,15.0,10.0,1865.0,1991.3333333333333,1926.0,1804.6666666666667,1911.3333333333333,1983.0,1912.3333333333333,1852.0
